vehicle_id,registration_number,vehicle_type,model,color
VEHICLE-0031,WB-01-AB-0031,Van,Standard Synthetic Model,Red
VEHICLE-0032,WB-01-AB-0032,Truck,Standard Synthetic Model,Blue
VEHICLE-0033,WB-01-AB-0033,Motorcycle,Standard Synthetic Model,Silver
VEHICLE-0034,WB-01-AB-0034,Truck,Standard Synthetic Model,Silver
VEHICLE-0035,WB-01-AB-0035,Sedan,Standard Synthetic Model,Blue
VEHICLE-0036,WB-01-AB-0036,Truck,Standard Synthetic Model,White
VEHICLE-0037,WB-01-AB-0037,Hatchback,Standard Synthetic Model,White
VEHICLE-0038,WB-01-AB-0038,Motorcycle,Standard Synthetic Model,Black
VEHICLE-0039,WB-01-AB-0039,Motorcycle,Standard Synthetic Model,Silver
VEHICLE-0040,WB-01-AB-0040,Motorcycle,Standard Synthetic Model,Red
VEHICLE-0041,WB-01-AB-0041,Hatchback,Standard Synthetic Model,Grey
VEHICLE-0042,WB-01-AB-0042,Van,Standard Synthetic Model,Blue
VEHICLE-0043,WB-01-AB-0043,Motorcycle,Standard Synthetic Model,Red
VEHICLE-0044,WB-01-AB-0044,Truck,Standard Synthetic Model,White
VEHICLE-0045,WB-01-AB-0045,Truck,Standard Synthetic Model,Silver
VEHICLE-0046,WB-01-AB-0046,Van,Standard Synthetic Model,Silver
VEHICLE-0047,WB-01-AB-0047,Van,Standard Synthetic Model,Black
VEHICLE-0048,WB-01-AB-0048,Truck,Standard Synthetic Model,Grey
VEHICLE-0049,WB-01-AB-0049,Van,Standard Synthetic Model,Grey
VEHICLE-0050,WB-01-AB-0050,SUV,Standard Synthetic Model,Silver
VEHICLE-0051,WB-01-AB-0051,Motorcycle,Standard Synthetic Model,Blue
VEHICLE-0052,WB-01-AB-0052,SUV,Standard Synthetic Model,Blue
VEHICLE-0053,WB-01-AB-0053,SUV,Standard Synthetic Model,Red
VEHICLE-0054,WB-01-AB-0054,Truck,Standard Synthetic Model,Red
VEHICLE-0055,WB-01-AB-0055,Truck,Standard Synthetic Model,Red
VEHICLE-0056,WB-01-AB-0056,SUV,Standard Synthetic Model,Blue
VEHICLE-0057,WB-01-AB-0057,Motorcycle,Standard Synthetic Model,Silver
VEHICLE-0058,WB-01-AB-0058,Hatchback,Standard Synthetic Model,Black
VEHICLE-0059,WB-01-AB-0059,Van,Standard Synthetic Model,Black
VEHICLE-0060,WB-01-AB-0060,Hatchback,Standard Synthetic Model,Black
VEHICLE-0061,WB-01-AB-0061,SUV,Standard Synthetic Model,Red
VEHICLE-0062,WB-01-AB-0062,Hatchback,Standard Synthetic Model,Red
VEHICLE-0063,WB-01-AB-0063,Truck,Standard Synthetic Model,Grey
VEHICLE-0064,WB-01-AB-0064,SUV,Standard Synthetic Model,Grey
VEHICLE-0065,WB-01-AB-0065,SUV,Standard Synthetic Model,Blue
VEHICLE-0066,WB-01-AB-0066,Truck,Standard Synthetic Model,Black
VEHICLE-0067,WB-01-AB-0067,SUV,Standard Synthetic Model,White
VEHICLE-0068,WB-01-AB-0068,Van,Standard Synthetic Model,Red
VEHICLE-0069,WB-01-AB-0069,Van,Standard Synthetic Model,Grey
VEHICLE-0070,WB-01-AB-0070,Motorcycle,Standard Synthetic Model,Black
VEHICLE-0071,WB-01-AB-0071,Hatchback,Standard Synthetic Model,Black
VEHICLE-0072,WB-01-AB-0072,Sedan,Standard Synthetic Model,Black
VEHICLE-0073,WB-01-AB-0073,Truck,Standard Synthetic Model,White
VEHICLE-0074,WB-01-AB-0074,SUV,Standard Synthetic Model,Grey
VEHICLE-0075,WB-01-AB-0075,Truck,Standard Synthetic Model,Black
VEHICLE-0076,WB-01-AB-0076,Truck,Standard Synthetic Model,Grey
VEHICLE-0077,WB-01-AB-0077,Hatchback,Standard Synthetic Model,Silver
VEHICLE-0078,WB-01-AB-0078,Van,Standard Synthetic Model,Black
VEHICLE-0079,WB-01-AB-0079,Van,Standard Synthetic Model,Red
VEHICLE-0080,WB-01-AB-0080,SUV,Standard Synthetic Model,Silver
VEHICLE-0081,WB-01-AB-0081,Sedan,Standard Synthetic Model,Blue
VEHICLE-0082,WB-01-AB-0082,Truck,Standard Synthetic Model,Blue
VEHICLE-0083,WB-01-AB-0083,Hatchback,Standard Synthetic Model,Silver
VEHICLE-0084,WB-01-AB-0084,Sedan,Standard Synthetic Model,Red
VEHICLE-0085,WB-01-AB-0085,Van,Standard Synthetic Model,Silver
VEHICLE-0086,WB-01-AB-0086,Truck,Standard Synthetic Model,Silver
VEHICLE-0087,WB-01-AB-0087,Sedan,Standard Synthetic Model,White
VEHICLE-0088,WB-01-AB-0088,Motorcycle,Standard Synthetic Model,Black
VEHICLE-0089,WB-01-AB-0089,Truck,Standard Synthetic Model,Grey
VEHICLE-0090,WB-01-AB-0090,Sedan,Standard Synthetic Model,Red
VEHICLE-0091,WB-01-AB-0091,Hatchback,Standard Synthetic Model,White
VEHICLE-0092,WB-01-AB-0092,Van,Standard Synthetic Model,Silver
VEHICLE-0093,WB-01-AB-0093,Motorcycle,Standard Synthetic Model,Red
VEHICLE-0094,WB-01-AB-0094,Motorcycle,Standard Synthetic Model,Grey
VEHICLE-0095,WB-01-AB-0095,Truck,Standard Synthetic Model,Silver
VEHICLE-0096,WB-01-AB-0096,SUV,Standard Synthetic Model,Black
VEHICLE-0097,WB-01-AB-0097,SUV,Standard Synthetic Model,Red
VEHICLE-0098,WB-01-AB-0098,Sedan,Standard Synthetic Model,White
VEHICLE-0099,WB-01-AB-0099,Truck,Standard Synthetic Model,Blue
VEHICLE-0100,WB-01-AB-0100,Hatchback,Standard Synthetic Model,Blue
VEHICLE-0101,WB-01-AB-0101,Truck,Standard Synthetic Model,Red
VEHICLE-0102,WB-01-AB-0102,Sedan,Standard Synthetic Model,Silver
VEHICLE-0103,WB-01-AB-0103,Motorcycle,Standard Synthetic Model,Silver
VEHICLE-0104,WB-01-AB-0104,Sedan,Standard Synthetic Model,Grey
VEHICLE-0105,WB-01-AB-0105,Motorcycle,Standard Synthetic Model,Silver
VEHICLE-0106,WB-01-AB-0106,Truck,Standard Synthetic Model,Black
VEHICLE-0107,WB-01-AB-0107,Sedan,Standard Synthetic Model,White
VEHICLE-0108,WB-01-AB-0108,SUV,Standard Synthetic Model,Blue
VEHICLE-0109,WB-01-AB-0109,Van,Standard Synthetic Model,White
VEHICLE-0110,WB-01-AB-0110,SUV,Standard Synthetic Model,Black
VEHICLE-0111,WB-01-AB-0111,Motorcycle,Standard Synthetic Model,Red
VEHICLE-0112,WB-01-AB-0112,Van,Standard Synthetic Model,Blue
VEHICLE-0113,WB-01-AB-0113,Motorcycle,Standard Synthetic Model,Silver
VEHICLE-0114,WB-01-AB-0114,Van,Standard Synthetic Model,Grey
VEHICLE-0115,WB-01-AB-0115,SUV,Standard Synthetic Model,Silver
VEHICLE-0116,WB-01-AB-0116,Sedan,Standard Synthetic Model,Black
VEHICLE-0117,WB-01-AB-0117,Hatchback,Standard Synthetic Model,Red
VEHICLE-0118,WB-01-AB-0118,Motorcycle,Standard Synthetic Model,Red
VEHICLE-0119,WB-01-AB-0119,SUV,Standard Synthetic Model,Red
VEHICLE-0120,WB-01-AB-0120,Hatchback,Standard Synthetic Model,White
VEHICLE-0121,WB-01-AB-0121,Truck,Standard Synthetic Model,Black
VEHICLE-0122,WB-01-AB-0122,SUV,Standard Synthetic Model,Blue
VEHICLE-0123,WB-01-AB-0123,Truck,Standard Synthetic Model,Silver
VEHICLE-0124,WB-01-AB-0124,Hatchback,Standard Synthetic Model,Blue
VEHICLE-0125,WB-01-AB-0125,Truck,Standard Synthetic Model,Grey
VEHICLE-0126,WB-01-AB-0126,Motorcycle,Standard Synthetic Model,Blue
VEHICLE-0127,WB-01-AB-0127,SUV,Standard Synthetic Model,White
VEHICLE-0128,WB-01-AB-0128,Motorcycle,Standard Synthetic Model,Red
VEHICLE-0129,WB-01-AB-0129,Sedan,Standard Synthetic Model,Silver
VEHICLE-0130,WB-01-AB-0130,Hatchback,Standard Synthetic Model,Grey
VEHICLE-0131,WB-01-AB-0131,SUV,Standard Synthetic Model,Silver
VEHICLE-0132,WB-01-AB-0132,Sedan,Standard Synthetic Model,Black
VEHICLE-0133,WB-01-AB-0133,Motorcycle,Standard Synthetic Model,Silver
VEHICLE-0134,WB-01-AB-0134,Motorcycle,Standard Synthetic Model,Black
VEHICLE-0135,WB-01-AB-0135,SUV,Standard Synthetic Model,Black
VEHICLE-0136,WB-01-AB-0136,Van,Standard Synthetic Model,Red
VEHICLE-0137,WB-01-AB-0137,Van,Standard Synthetic Model,White
VEHICLE-0138,WB-01-AB-0138,SUV,Standard Synthetic Model,Red
VEHICLE-0139,WB-01-AB-0139,SUV,Standard Synthetic Model,Red
VEHICLE-0140,WB-01-AB-0140,Hatchback,Standard Synthetic Model,White
VEHICLE-0141,WB-01-AB-0141,Truck,Standard Synthetic Model,White
VEHICLE-0142,WB-01-AB-0142,Motorcycle,Standard Synthetic Model,Black
VEHICLE-0143,WB-01-AB-0143,Hatchback,Standard Synthetic Model,Grey
VEHICLE-0144,WB-01-AB-0144,Truck,Standard Synthetic Model,Blue
VEHICLE-0145,WB-01-AB-0145,Truck,Standard Synthetic Model,Black
VEHICLE-0146,WB-01-AB-0146,Truck,Standard Synthetic Model,White
VEHICLE-0147,WB-01-AB-0147,Truck,Standard Synthetic Model,Black
VEHICLE-0148,WB-01-AB-0148,SUV,Standard Synthetic Model,Blue
VEHICLE-0149,WB-01-AB-0149,Hatchback,Standard Synthetic Model,Silver
VEHICLE-0150,WB-01-AB-0150,Hatchback,Standard Synthetic Model,Grey
VEHICLE-0151,WB-01-AB-0151,Hatchback,Standard Synthetic Model,Grey
VEHICLE-0152,WB-01-AB-0152,Truck,Standard Synthetic Model,Blue
VEHICLE-0153,WB-01-AB-0153,SUV,Standard Synthetic Model,Grey
VEHICLE-0154,WB-01-AB-0154,Truck,Standard Synthetic Model,Blue
VEHICLE-0155,WB-01-AB-0155,Motorcycle,Standard Synthetic Model,Blue
VEHICLE-0156,WB-01-AB-0156,Truck,Standard Synthetic Model,Silver
VEHICLE-0157,WB-01-AB-0157,Hatchback,Standard Synthetic Model,Red
VEHICLE-0158,WB-01-AB-0158,Van,Standard Synthetic Model,White
VEHICLE-0159,WB-01-AB-0159,Van,Standard Synthetic Model,Grey
VEHICLE-0160,WB-01-AB-0160,Van,Standard Synthetic Model,Red
VEHICLE-0161,WB-01-AB-0161,SUV,Standard Synthetic Model,White
VEHICLE-0162,WB-01-AB-0162,Van,Standard Synthetic Model,White
VEHICLE-0163,WB-01-AB-0163,Sedan,Standard Synthetic Model,Blue
VEHICLE-0164,WB-01-AB-0164,Van,Standard Synthetic Model,Silver
VEHICLE-0165,WB-01-AB-0165,Van,Standard Synthetic Model,Blue
VEHICLE-0166,WB-01-AB-0166,Hatchback,Standard Synthetic Model,Silver
VEHICLE-0167,WB-01-AB-0167,SUV,Standard Synthetic Model,Blue
VEHICLE-0168,WB-01-AB-0168,Motorcycle,Standard Synthetic Model,White
VEHICLE-0169,WB-01-AB-0169,Truck,Standard Synthetic Model,Silver
VEHICLE-0170,WB-01-AB-0170,Truck,Standard Synthetic Model,Blue
VEHICLE-0171,WB-01-AB-0171,Motorcycle,Standard Synthetic Model,White
VEHICLE-0172,WB-01-AB-0172,Van,Standard Synthetic Model,Grey
VEHICLE-0173,WB-01-AB-0173,Sedan,Standard Synthetic Model,Grey
VEHICLE-0174,WB-01-AB-0174,Hatchback,Standard Synthetic Model,Blue
VEHICLE-0175,WB-01-AB-0175,Motorcycle,Standard Synthetic Model,Grey
VEHICLE-0176,WB-01-AB-0176,Van,Standard Synthetic Model,White
VEHICLE-0177,WB-01-AB-0177,Van,Standard Synthetic Model,Grey
VEHICLE-0178,WB-01-AB-0178,Truck,Standard Synthetic Model,Black
VEHICLE-0179,WB-01-AB-0179,Truck,Standard Synthetic Model,White
VEHICLE-0180,WB-01-AB-0180,Motorcycle,Standard Synthetic Model,Black
VEHICLE-0181,WB-01-AB-0181,Sedan,Standard Synthetic Model,Red
VEHICLE-0182,WB-01-AB-0182,Hatchback,Standard Synthetic Model,Blue
VEHICLE-0183,WB-01-AB-0183,Sedan,Standard Synthetic Model,White
VEHICLE-0184,WB-01-AB-0184,Motorcycle,Standard Synthetic Model,Black
VEHICLE-0185,WB-01-AB-0185,Truck,Standard Synthetic Model,White
VEHICLE-0186,WB-01-AB-0186,Van,Standard Synthetic Model,White
VEHICLE-0187,WB-01-AB-0187,Sedan,Standard Synthetic Model,Grey
VEHICLE-0188,WB-01-AB-0188,Sedan,Standard Synthetic Model,Black
VEHICLE-0189,WB-01-AB-0189,Motorcycle,Standard Synthetic Model,Silver
VEHICLE-0190,WB-01-AB-0190,Hatchback,Standard Synthetic Model,Red
VEHICLE-0191,WB-01-AB-0191,Truck,Standard Synthetic Model,Red
VEHICLE-0192,WB-01-AB-0192,Motorcycle,Standard Synthetic Model,Black
VEHICLE-0193,WB-01-AB-0193,Motorcycle,Standard Synthetic Model,Grey
VEHICLE-0194,WB-01-AB-0194,Motorcycle,Standard Synthetic Model,Grey
VEHICLE-0195,WB-01-AB-0195,Sedan,Standard Synthetic Model,Red
VEHICLE-0196,WB-01-AB-0196,Truck,Standard Synthetic Model,Blue
VEHICLE-0197,WB-01-AB-0197,Hatchback,Standard Synthetic Model,Red
VEHICLE-0198,WB-01-AB-0198,SUV,Standard Synthetic Model,White
VEHICLE-0199,WB-01-AB-0199,Hatchback,Standard Synthetic Model,Blue
VEHICLE-0200,WB-01-AB-0200,Motorcycle,Standard Synthetic Model,Blue
VEHICLE-0201,WB-01-AB-0201,Hatchback,Standard Synthetic Model,Red
VEHICLE-0202,WB-01-AB-0202,Hatchback,Standard Synthetic Model,White
VEHICLE-0203,WB-01-AB-0203,Sedan,Standard Synthetic Model,Black
VEHICLE-0204,WB-01-AB-0204,Motorcycle,Standard Synthetic Model,Red
VEHICLE-0205,WB-01-AB-0205,Truck,Standard Synthetic Model,Blue
VEHICLE-0206,WB-01-AB-0206,Motorcycle,Standard Synthetic Model,Blue
VEHICLE-0207,WB-01-AB-0207,Motorcycle,Standard Synthetic Model,Silver
VEHICLE-0208,WB-01-AB-0208,Hatchback,Standard Synthetic Model,Grey
VEHICLE-0209,WB-01-AB-0209,SUV,Standard Synthetic Model,Silver
VEHICLE-0210,WB-01-AB-0210,SUV,Standard Synthetic Model,Silver
VEHICLE-0211,WB-01-AB-0211,Truck,Standard Synthetic Model,White
VEHICLE-0212,WB-01-AB-0212,Sedan,Standard Synthetic Model,Red
VEHICLE-0213,WB-01-AB-0213,Motorcycle,Standard Synthetic Model,Blue
VEHICLE-0214,WB-01-AB-0214,Sedan,Standard Synthetic Model,Silver
VEHICLE-0215,WB-01-AB-0215,Hatchback,Standard Synthetic Model,White
VEHICLE-0216,WB-01-AB-0216,Sedan,Standard Synthetic Model,Blue
VEHICLE-0217,WB-01-AB-0217,Sedan,Standard Synthetic Model,Grey
VEHICLE-0218,WB-01-AB-0218,Van,Standard Synthetic Model,Red
VEHICLE-0219,WB-01-AB-0219,Truck,Standard Synthetic Model,White
VEHICLE-0220,WB-01-AB-0220,Hatchback,Standard Synthetic Model,Red
VEHICLE-0221,WB-01-AB-0221,Sedan,Standard Synthetic Model,Grey
VEHICLE-0222,WB-01-AB-0222,Motorcycle,Standard Synthetic Model,Silver
VEHICLE-0223,WB-01-AB-0223,Van,Standard Synthetic Model,Silver
VEHICLE-0224,WB-01-AB-0224,Sedan,Standard Synthetic Model,Silver
VEHICLE-0225,WB-01-AB-0225,Van,Standard Synthetic Model,Black
VEHICLE-0226,WB-01-AB-0226,Hatchback,Standard Synthetic Model,Red
VEHICLE-0227,WB-01-AB-0227,Van,Standard Synthetic Model,Black
VEHICLE-0228,WB-01-AB-0228,Van,Standard Synthetic Model,Blue
VEHICLE-0229,WB-01-AB-0229,Truck,Standard Synthetic Model,Black
VEHICLE-0230,WB-01-AB-0230,Hatchback,Standard Synthetic Model,Black
VEHICLE-0231,WB-01-AB-0231,Hatchback,Standard Synthetic Model,Red
VEHICLE-0232,WB-01-AB-0232,Van,Standard Synthetic Model,Silver
VEHICLE-0233,WB-01-AB-0233,Motorcycle,Standard Synthetic Model,Black
VEHICLE-0234,WB-01-AB-0234,SUV,Standard Synthetic Model,White
VEHICLE-0235,WB-01-AB-0235,Van,Standard Synthetic Model,Blue
VEHICLE-0236,WB-01-AB-0236,Truck,Standard Synthetic Model,Silver
VEHICLE-0237,WB-01-AB-0237,Truck,Standard Synthetic Model,Red
VEHICLE-0238,WB-01-AB-0238,Motorcycle,Standard Synthetic Model,Blue
VEHICLE-0239,WB-01-AB-0239,Motorcycle,Standard Synthetic Model,White
VEHICLE-0240,WB-01-AB-0240,SUV,Standard Synthetic Model,Red
VEHICLE-0241,WB-01-AB-0241,Truck,Standard Synthetic Model,Grey
VEHICLE-0242,WB-01-AB-0242,Van,Standard Synthetic Model,Black
VEHICLE-0243,WB-01-AB-0243,Truck,Standard Synthetic Model,Grey
VEHICLE-0244,WB-01-AB-0244,Motorcycle,Standard Synthetic Model,Silver
VEHICLE-0245,WB-01-AB-0245,SUV,Standard Synthetic Model,Grey
VEHICLE-0246,WB-01-AB-0246,Hatchback,Standard Synthetic Model,Blue
VEHICLE-0247,WB-01-AB-0247,Motorcycle,Standard Synthetic Model,Silver
VEHICLE-0248,WB-01-AB-0248,Hatchback,Standard Synthetic Model,Black
VEHICLE-0249,WB-01-AB-0249,Truck,Standard Synthetic Model,Silver
VEHICLE-0250,WB-01-AB-0250,Motorcycle,Standard Synthetic Model,White
VEHICLE-0251,WB-01-AB-0251,Van,Standard Synthetic Model,Grey
VEHICLE-0252,WB-01-AB-0252,Motorcycle,Standard Synthetic Model,Blue
VEHICLE-0253,WB-01-AB-0253,Van,Standard Synthetic Model,Silver
VEHICLE-0254,WB-01-AB-0254,Motorcycle,Standard Synthetic Model,Silver
VEHICLE-0255,WB-01-AB-0255,SUV,Standard Synthetic Model,Silver
VEHICLE-0256,WB-01-AB-0256,SUV,Standard Synthetic Model,Red
VEHICLE-0257,WB-01-AB-0257,Sedan,Standard Synthetic Model,Grey
VEHICLE-0258,WB-01-AB-0258,SUV,Standard Synthetic Model,White
VEHICLE-0259,WB-01-AB-0259,Van,Standard Synthetic Model,Red
VEHICLE-0260,WB-01-AB-0260,Hatchback,Standard Synthetic Model,White
VEHICLE-0261,WB-01-AB-0261,SUV,Standard Synthetic Model,Grey
VEHICLE-0262,WB-01-AB-0262,Truck,Standard Synthetic Model,Blue
VEHICLE-0263,WB-01-AB-0263,Van,Standard Synthetic Model,White
VEHICLE-0264,WB-01-AB-0264,Sedan,Standard Synthetic Model,Silver
VEHICLE-0265,WB-01-AB-0265,Van,Standard Synthetic Model,Red
VEHICLE-0266,WB-01-AB-0266,Truck,Standard Synthetic Model,Blue
VEHICLE-0267,WB-01-AB-0267,Hatchback,Standard Synthetic Model,Grey
VEHICLE-0268,WB-01-AB-0268,Hatchback,Standard Synthetic Model,Black
VEHICLE-0269,WB-01-AB-0269,SUV,Standard Synthetic Model,White
VEHICLE-0270,WB-01-AB-0270,Hatchback,Standard Synthetic Model,Silver
VEHICLE-0271,WB-01-AB-0271,Truck,Standard Synthetic Model,White
VEHICLE-0272,WB-01-AB-0272,Truck,Standard Synthetic Model,Grey
VEHICLE-0273,WB-01-AB-0273,Hatchback,Standard Synthetic Model,Red
VEHICLE-0274,WB-01-AB-0274,Van,Standard Synthetic Model,Red
VEHICLE-0275,WB-01-AB-0275,Hatchback,Standard Synthetic Model,Grey
VEHICLE-0276,WB-01-AB-0276,Hatchback,Standard Synthetic Model,Blue
VEHICLE-0277,WB-01-AB-0277,SUV,Standard Synthetic Model,Black
VEHICLE-0278,WB-01-AB-0278,Motorcycle,Standard Synthetic Model,Grey
VEHICLE-0279,WB-01-AB-0279,Van,Standard Synthetic Model,Red
VEHICLE-0280,WB-01-AB-0280,SUV,Standard Synthetic Model,Black
VEHICLE-0281,WB-01-AB-0281,SUV,Standard Synthetic Model,Black
VEHICLE-0282,WB-01-AB-0282,Van,Standard Synthetic Model,Grey
VEHICLE-0283,WB-01-AB-0283,Motorcycle,Standard Synthetic Model,White
VEHICLE-0284,WB-01-AB-0284,Truck,Standard Synthetic Model,Grey
VEHICLE-0285,WB-01-AB-0285,SUV,Standard Synthetic Model,Silver
VEHICLE-0286,WB-01-AB-0286,SUV,Standard Synthetic Model,Black
VEHICLE-0287,WB-01-AB-0287,Motorcycle,Standard Synthetic Model,White
VEHICLE-0288,WB-01-AB-0288,Van,Standard Synthetic Model,Silver
VEHICLE-0289,WB-01-AB-0289,Truck,Standard Synthetic Model,Silver
VEHICLE-0290,WB-01-AB-0290,Sedan,Standard Synthetic Model,Black
VEHICLE-0291,WB-01-AB-0291,Van,Standard Synthetic Model,Blue
VEHICLE-0292,WB-01-AB-0292,Van,Standard Synthetic Model,Red
VEHICLE-0293,WB-01-AB-0293,Motorcycle,Standard Synthetic Model,Black
VEHICLE-0294,WB-01-AB-0294,Hatchback,Standard Synthetic Model,Silver
VEHICLE-0295,WB-01-AB-0295,SUV,Standard Synthetic Model,Silver
VEHICLE-0296,WB-01-AB-0296,Motorcycle,Standard Synthetic Model,Blue
VEHICLE-0297,WB-01-AB-0297,Hatchback,Standard Synthetic Model,Grey
VEHICLE-0298,WB-01-AB-0298,Van,Standard Synthetic Model,Red
VEHICLE-0299,WB-01-AB-0299,Truck,Standard Synthetic Model,Black
VEHICLE-0300,WB-01-AB-0300,SUV,Standard Synthetic Model,Grey
VEHICLE-0301,WB-01-AB-0301,Truck,Standard Synthetic Model,Red
VEHICLE-0302,WB-01-AB-0302,Truck,Standard Synthetic Model,Grey
VEHICLE-0303,WB-01-AB-0303,Motorcycle,Standard Synthetic Model,Silver
VEHICLE-0304,WB-01-AB-0304,Truck,Standard Synthetic Model,Black
VEHICLE-0305,WB-01-AB-0305,Hatchback,Standard Synthetic Model,Silver
VEHICLE-0306,WB-01-AB-0306,Truck,Standard Synthetic Model,Blue
VEHICLE-0307,WB-01-AB-0307,Motorcycle,Standard Synthetic Model,Silver
VEHICLE-0308,WB-01-AB-0308,Van,Standard Synthetic Model,Red
VEHICLE-0309,WB-01-AB-0309,Sedan,Standard Synthetic Model,Blue
VEHICLE-0310,WB-01-AB-0310,Sedan,Standard Synthetic Model,White
VEHICLE-0311,WB-01-AB-0311,Truck,Standard Synthetic Model,White
VEHICLE-0312,WB-01-AB-0312,Sedan,Standard Synthetic Model,Grey
VEHICLE-0313,WB-01-AB-0313,Hatchback,Standard Synthetic Model,Red
VEHICLE-0314,WB-01-AB-0314,Hatchback,Standard Synthetic Model,White
VEHICLE-0315,WB-01-AB-0315,Truck,Standard Synthetic Model,Silver
VEHICLE-0316,WB-01-AB-0316,Sedan,Standard Synthetic Model,Silver
VEHICLE-0317,WB-01-AB-0317,Van,Standard Synthetic Model,Grey
VEHICLE-0318,WB-01-AB-0318,SUV,Standard Synthetic Model,White
VEHICLE-0319,WB-01-AB-0319,Van,Standard Synthetic Model,Red
VEHICLE-0320,WB-01-AB-0320,Truck,Standard Synthetic Model,Blue
VEHICLE-0321,WB-01-AB-0321,Motorcycle,Standard Synthetic Model,Red
VEHICLE-0322,WB-01-AB-0322,Motorcycle,Standard Synthetic Model,White
VEHICLE-0323,WB-01-AB-0323,Sedan,Standard Synthetic Model,Blue
VEHICLE-0324,WB-01-AB-0324,Van,Standard Synthetic Model,Grey
VEHICLE-0325,WB-01-AB-0325,Sedan,Standard Synthetic Model,White
VEHICLE-0326,WB-01-AB-0326,Van,Standard Synthetic Model,Red
VEHICLE-0327,WB-01-AB-0327,SUV,Standard Synthetic Model,Blue
VEHICLE-0328,WB-01-AB-0328,SUV,Standard Synthetic Model,White
VEHICLE-0329,WB-01-AB-0329,Van,Standard Synthetic Model,Red
VEHICLE-0330,WB-01-AB-0330,Truck,Standard Synthetic Model,Grey
VEHICLE-0331,WB-01-AB-0331,Hatchback,Standard Synthetic Model,White
VEHICLE-0332,WB-01-AB-0332,Sedan,Standard Synthetic Model,Blue
VEHICLE-0333,WB-01-AB-0333,Hatchback,Standard Synthetic Model,Silver
VEHICLE-0334,WB-01-AB-0334,Hatchback,Standard Synthetic Model,Blue
VEHICLE-0335,WB-01-AB-0335,Van,Standard Synthetic Model,Black
VEHICLE-0336,WB-01-AB-0336,SUV,Standard Synthetic Model,Black
VEHICLE-0337,WB-01-AB-0337,Motorcycle,Standard Synthetic Model,White
VEHICLE-0338,WB-01-AB-0338,SUV,Standard Synthetic Model,Grey
VEHICLE-0339,WB-01-AB-0339,Motorcycle,Standard Synthetic Model,Blue
VEHICLE-0340,WB-01-AB-0340,Hatchback,Standard Synthetic Model,Red
VEHICLE-0341,WB-01-AB-0341,Hatchback,Standard Synthetic Model,Black
VEHICLE-0342,WB-01-AB-0342,Truck,Standard Synthetic Model,White
VEHICLE-0343,WB-01-AB-0343,Truck,Standard Synthetic Model,Red
VEHICLE-0344,WB-01-AB-0344,Sedan,Standard Synthetic Model,White
VEHICLE-0345,WB-01-AB-0345,Motorcycle,Standard Synthetic Model,Grey
VEHICLE-0346,WB-01-AB-0346,Motorcycle,Standard Synthetic Model,Blue
VEHICLE-0347,WB-01-AB-0347,Motorcycle,Standard Synthetic Model,White
