family_id,person_id,related_person_id,relationship_subtype
FAM-0266,PERSON-0450,PERSON-0735,SPOUSE
FAM-0267,PERSON-0270,PERSON-0046,MOTHER
FAM-0268,PERSON-0046,PERSON-0270,DAUGHTER
FAM-0269,PERSON-0491,PERSON-0513,BROTHER
FAM-0270,PERSON-0513,PERSON-0491,BROTHER
FAM-0271,PERSON-0712,PERSON-0697,FATHER
FAM-0272,PERSON-0697,PERSON-0712,DAUGHTER
FAM-0273,PERSON-0734,PERSON-0912,MOTHER
FAM-0274,PERSON-0912,PERSON-0734,DAUGHTER
FAM-0275,PERSON-0679,PERSON-0199,BROTHER
FAM-0276,PERSON-0199,PERSON-0679,BROTHER
FAM-0277,PERSON-0315,PERSON-0595,SISTER
FAM-0278,PERSON-0595,PERSON-0315,BROTHER
FAM-0279,PERSON-0883,PERSON-0231,FATHER
FAM-0280,PERSON-0231,PERSON-0883,SON
FAM-0281,PERSON-0003,PERSON-0403,SPOUSE
FAM-0282,PERSON-0403,PERSON-0003,SPOUSE
FAM-0283,PERSON-0470,PERSON-0387,FATHER
FAM-0284,PERSON-0387,PERSON-0470,DAUGHTER
FAM-0285,PERSON-0343,PERSON-0336,FATHER
FAM-0286,PERSON-0336,PERSON-0343,SON
FAM-0287,PERSON-0224,PERSON-0165,SISTER
FAM-0288,PERSON-0165,PERSON-0224,BROTHER
FAM-0289,PERSON-0849,PERSON-0012,MOTHER
FAM-0290,PERSON-0012,PERSON-0849,SON
FAM-0291,PERSON-0506,PERSON-0218,SISTER
FAM-0292,PERSON-0218,PERSON-0506,SISTER
FAM-0293,PERSON-0321,PERSON-0262,FATHER
FAM-0294,PERSON-0262,PERSON-0321,DAUGHTER
FAM-0295,PERSON-0921,PERSON-0401,FATHER
FAM-0296,PERSON-0401,PERSON-0921,DAUGHTER
FAM-0297,PERSON-0293,PERSON-0109,SPOUSE
FAM-0298,PERSON-0109,PERSON-0293,SPOUSE
FAM-0299,PERSON-0551,PERSON-0261,FATHER
FAM-0300,PERSON-0261,PERSON-0551,DAUGHTER
FAM-0301,PERSON-0597,PERSON-0063,FATHER
FAM-0302,PERSON-0063,PERSON-0597,DAUGHTER
FAM-0303,PERSON-0678,PERSON-0970,FATHER
FAM-0304,PERSON-0970,PERSON-0678,DAUGHTER
FAM-0305,PERSON-0225,PERSON-0809,MOTHER
FAM-0306,PERSON-0809,PERSON-0225,DAUGHTER
FAM-0307,PERSON-0316,PERSON-0339,MOTHER
FAM-0308,PERSON-0339,PERSON-0316,SON
FAM-0309,PERSON-0072,PERSON-0016,FATHER
FAM-0310,PERSON-0016,PERSON-0072,SON
FAM-0311,PERSON-0586,PERSON-0041,SISTER
FAM-0312,PERSON-0041,PERSON-0586,SISTER
FAM-0313,PERSON-0860,PERSON-0694,FATHER
FAM-0314,PERSON-0694,PERSON-0860,SON
FAM-0315,PERSON-0365,PERSON-0251,FATHER
FAM-0316,PERSON-0251,PERSON-0365,SON
FAM-0317,PERSON-0653,PERSON-0783,SISTER
FAM-0318,PERSON-0783,PERSON-0653,SISTER
FAM-0319,PERSON-0523,PERSON-0260,MOTHER
FAM-0320,PERSON-0260,PERSON-0523,DAUGHTER
FAM-0321,PERSON-0015,PERSON-0156,MOTHER
FAM-0322,PERSON-0156,PERSON-0015,SON
FAM-0323,PERSON-0091,PERSON-0394,SISTER
FAM-0324,PERSON-0394,PERSON-0091,SISTER
FAM-0325,PERSON-0455,PERSON-0226,FATHER
FAM-0326,PERSON-0226,PERSON-0455,DAUGHTER
FAM-0327,PERSON-0632,PERSON-0950,FATHER
FAM-0328,PERSON-0950,PERSON-0632,SON
FAM-0329,PERSON-0289,PERSON-0918,SISTER
FAM-0330,PERSON-0918,PERSON-0289,BROTHER
FAM-0331,PERSON-0981,PERSON-0999,SPOUSE
FAM-0332,PERSON-0999,PERSON-0981,SPOUSE
FAM-0333,PERSON-0343,PERSON-0773,SPOUSE
FAM-0334,PERSON-0773,PERSON-0343,SPOUSE
FAM-0335,PERSON-0332,PERSON-0878,FATHER
FAM-0336,PERSON-0878,PERSON-0332,DAUGHTER
FAM-0337,PERSON-0090,PERSON-0176,SISTER
FAM-0338,PERSON-0176,PERSON-0090,SISTER
FAM-0339,PERSON-0320,PERSON-0172,SISTER
FAM-0340,PERSON-0172,PERSON-0320,SISTER
FAM-0341,PERSON-0048,PERSON-0237,MOTHER
FAM-0342,PERSON-0237,PERSON-0048,DAUGHTER
FAM-0343,PERSON-0430,PERSON-0688,FATHER
FAM-0344,PERSON-0688,PERSON-0430,DAUGHTER
FAM-0345,PERSON-0817,PERSON-0009,FATHER
FAM-0346,PERSON-0009,PERSON-0817,DAUGHTER
FAM-0347,PERSON-0469,PERSON-0379,SISTER
FAM-0348,PERSON-0379,PERSON-0469,BROTHER
FAM-0349,PERSON-0534,PERSON-0192,MOTHER
FAM-0350,PERSON-0192,PERSON-0534,SON
