cp_id,case_id,person_id,association,role,source
CPA-0157,CASE-104,PERSON-135,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0158,CASE-105,PERSON-128,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0159,CASE-105,PERSON-127,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0160,CASE-105,PERSON-047,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0161,CASE-106,PERSON-031,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0162,CASE-106,PERSON-189,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0163,CASE-106,PERSON-054,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0164,CASE-107,PERSON-055,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0165,CASE-107,PERSON-003,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0166,CASE-107,PERSON-164,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0167,CASE-108,PERSON-141,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0168,CASE-108,PERSON-083,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0169,CASE-108,PERSON-197,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0170,CASE-110,PERSON-040,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0171,CASE-110,PERSON-161,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0172,CASE-112,PERSON-054,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0173,CASE-113,PERSON-087,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0174,CASE-114,PERSON-193,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0175,CASE-115,PERSON-096,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0176,CASE-116,PERSON-010,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0177,CASE-116,PERSON-200,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0178,CASE-119,PERSON-118,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0179,CASE-122,PERSON-083,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0180,CASE-124,PERSON-144,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0181,CASE-124,PERSON-132,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0182,CASE-124,PERSON-027,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0183,CASE-125,PERSON-073,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0184,CASE-125,PERSON-147,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0185,CASE-125,PERSON-063,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0186,CASE-126,PERSON-121,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0187,CASE-127,PERSON-181,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0188,CASE-128,PERSON-183,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0189,CASE-129,PERSON-179,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0190,CASE-130,PERSON-037,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0191,CASE-132,PERSON-119,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0192,CASE-132,PERSON-044,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0193,CASE-133,PERSON-183,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0194,CASE-133,PERSON-028,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0195,CASE-134,PERSON-062,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0196,CASE-134,PERSON-159,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0197,CASE-135,PERSON-152,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0198,CASE-135,PERSON-111,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0199,CASE-135,PERSON-112,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0200,CASE-136,PERSON-020,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0201,CASE-136,PERSON-190,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0202,CASE-136,PERSON-183,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0203,CASE-137,PERSON-114,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0204,CASE-139,PERSON-149,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0205,CASE-140,PERSON-100,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0206,CASE-140,PERSON-158,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0207,CASE-141,PERSON-078,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0208,CASE-141,PERSON-112,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0209,CASE-141,PERSON-184,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0210,CASE-145,PERSON-170,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0211,CASE-147,PERSON-166,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0212,CASE-148,PERSON-117,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0213,CASE-148,PERSON-179,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0214,CASE-149,PERSON-099,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0215,CASE-149,PERSON-091,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0216,CASE-151,PERSON-146,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0217,CASE-153,PERSON-023,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0218,CASE-153,PERSON-063,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0219,CASE-153,PERSON-121,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0220,CASE-154,PERSON-137,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0221,CASE-154,PERSON-200,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0222,CASE-155,PERSON-075,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0223,CASE-155,PERSON-043,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0224,CASE-156,PERSON-149,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0225,CASE-156,PERSON-044,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0226,CASE-157,PERSON-130,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0227,CASE-158,PERSON-004,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0228,CASE-158,PERSON-190,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0229,CASE-160,PERSON-009,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0230,CASE-160,PERSON-088,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0231,CASE-160,PERSON-022,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0232,CASE-162,PERSON-194,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0233,CASE-162,PERSON-030,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0234,CASE-163,PERSON-060,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0235,CASE-163,PERSON-098,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0236,CASE-163,PERSON-175,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0237,CASE-164,PERSON-098,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0238,CASE-164,PERSON-174,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0239,CASE-168,PERSON-173,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0240,CASE-169,PERSON-115,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0241,CASE-169,PERSON-090,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0242,CASE-169,PERSON-057,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0243,CASE-170,PERSON-153,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0244,CASE-173,PERSON-197,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
