txn_id,case_id,amount,description
ROB-TXN-0022,CASE-0268,35928.49,PERSON-0342 transferred 35928.49 INR to PERSON-0790 for logistics.
ROB-TXN-0023,CASE-0757,26578.08,PERSON-0037 transferred 26578.08 INR to PERSON-0855 for logistics.
ROB-TXN-0024,CASE-0509,7710.72,PERSON-0954 transferred 7710.72 INR to PERSON-0422 for logistics.
ROB-TXN-0025,CASE-0943,51202.32,PERSON-0205 transferred 51202.32 INR to PERSON-0837 for logistics.
ROB-TXN-0026,CASE-0143,73680.48,PERSON-0286 transferred 73680.48 INR to PERSON-0886 for logistics.
ROB-TXN-0027,CASE-0237,72377.4,PERSON-0962 transferred 72377.4 INR to PERSON-0029 for logistics.
ROB-TXN-0028,CASE-0890,47434.62,PERSON-0112 transferred 47434.62 INR to PERSON-0611 for logistics.
ROB-TXN-0029,CASE-1181,69790.26,PERSON-0395 transferred 69790.26 INR to PERSON-0922 for logistics.
ROB-TXN-0030,CASE-0616,53804.59,PERSON-0128 transferred 53804.59 INR to PERSON-0738 for logistics.
ROB-TXN-0031,CASE-0777,44837.37,PERSON-0197 transferred 44837.37 INR to PERSON-0431 for logistics.
ROB-TXN-0032,CASE-0871,44018.41,PERSON-0907 transferred 44018.41 INR to PERSON-0110 for logistics.
ROB-TXN-0033,CASE-0914,57624.38,PERSON-0929 transferred 57624.38 INR to PERSON-0562 for logistics.
ROB-TXN-0034,CASE-1068,10423.83,PERSON-0284 transferred 10423.83 INR to PERSON-0785 for logistics.
ROB-TXN-0035,CASE-0655,31812.47,PERSON-0279 transferred 31812.47 INR to PERSON-0344 for logistics.
ROB-TXN-0036,CASE-0850,19478.41,PERSON-0220 transferred 19478.41 INR to PERSON-0066 for logistics.
ROB-TXN-0037,CASE-1197,5412.73,PERSON-0927 transferred 5412.73 INR to PERSON-0789 for logistics.
ROB-TXN-0038,CASE-0450,51821.15,PERSON-0226 transferred 51821.15 INR to PERSON-0500 for logistics.
ROB-TXN-0039,CASE-0958,32581.42,PERSON-0742 transferred 32581.42 INR to PERSON-0170 for logistics.
ROB-TXN-0040,CASE-0878,23210.94,PERSON-0028 transferred 23210.94 INR to PERSON-0086 for logistics.
ROB-TXN-0041,CASE-0692,71584.29,PERSON-0466 transferred 71584.29 INR to PERSON-0335 for logistics.
ROB-TXN-0042,CASE-0964,71634.38,PERSON-0855 transferred 71634.38 INR to PERSON-0084 for logistics.
ROB-TXN-0043,CASE-0083,6426.6,PERSON-0071 transferred 6426.6 INR to PERSON-0800 for logistics.
ROB-TXN-0044,CASE-0235,22937.06,PERSON-0130 transferred 22937.06 INR to PERSON-0485 for logistics.
ROB-TXN-0045,CASE-0759,34404.11,PERSON-0439 transferred 34404.11 INR to PERSON-0678 for logistics.
ROB-TXN-0046,CASE-0742,15709.38,PERSON-0444 transferred 15709.38 INR to PERSON-0984 for logistics.
ROB-TXN-0047,CASE-0500,39601.46,PERSON-0903 transferred 39601.46 INR to PERSON-0462 for logistics.
ROB-TXN-0048,CASE-0021,55405.23,PERSON-0283 transferred 55405.23 INR to PERSON-0570 for logistics.
ROB-TXN-0049,CASE-0976,6207.03,PERSON-0777 transferred 6207.03 INR to PERSON-0247 for logistics.
ROB-TXN-0050,CASE-0499,43743.11,PERSON-0415 transferred 43743.11 INR to PERSON-0709 for logistics.
ROB-TXN-0051,CASE-0678,22598.26,PERSON-0764 transferred 22598.26 INR to PERSON-0564 for logistics.
ROB-TXN-0052,CASE-0245,56702.33,PERSON-0198 transferred 56702.33 INR to PERSON-0324 for logistics.
ROB-TXN-0053,CASE-0620,8186.1,PERSON-0370 transferred 8186.1 INR to PERSON-0184 for logistics.
ROB-TXN-0054,CASE-0259,66090.38,PERSON-0300 transferred 66090.38 INR to PERSON-0715 for logistics.
ROB-TXN-0055,CASE-0903,65320.61,PERSON-0481 transferred 65320.61 INR to PERSON-0491 for logistics.
ROB-TXN-0056,CASE-1008,61779.95,PERSON-0067 transferred 61779.95 INR to PERSON-0411 for logistics.
ROB-TXN-0057,CASE-1071,46196.76,PERSON-0232 transferred 46196.76 INR to PERSON-0795 for logistics.
ROB-TXN-0058,CASE-0124,58391.6,PERSON-0583 transferred 58391.6 INR to PERSON-0636 for logistics.
ROB-TXN-0059,CASE-0167,5187.3,PERSON-0271 transferred 5187.3 INR to PERSON-0677 for logistics.
ROB-TXN-0060,CASE-0083,50605.66,PERSON-0276 transferred 50605.66 INR to PERSON-0591 for logistics.
ROB-TXN-0061,CASE-0658,53557.16,PERSON-0419 transferred 53557.16 INR to PERSON-0342 for logistics.
ROB-TXN-0062,CASE-1127,13114.51,PERSON-0968 transferred 13114.51 INR to PERSON-0411 for logistics.
ROB-TXN-0063,CASE-0003,8794.29,PERSON-0886 transferred 8794.29 INR to PERSON-0527 for logistics.
ROB-TXN-0064,CASE-1021,43445.37,PERSON-0638 transferred 43445.37 INR to PERSON-0775 for logistics.
ROB-TXN-0065,CASE-0241,55162.23,PERSON-0473 transferred 55162.23 INR to PERSON-0970 for logistics.
ROB-TXN-0066,CASE-0989,18342.73,PERSON-0280 transferred 18342.73 INR to PERSON-0426 for logistics.
ROB-TXN-0067,CASE-0280,60140.22,PERSON-0765 transferred 60140.22 INR to PERSON-0901 for logistics.
ROB-TXN-0068,CASE-0681,70299.66,PERSON-0496 transferred 70299.66 INR to PERSON-0354 for logistics.
ROB-TXN-0069,CASE-1172,57129.36,PERSON-0715 transferred 57129.36 INR to PERSON-0245 for logistics.
ROB-TXN-0070,CASE-0259,12025.52,PERSON-0988 transferred 12025.52 INR to PERSON-0038 for logistics.
ROB-TXN-0071,CASE-0936,50834.69,PERSON-0103 transferred 50834.69 INR to PERSON-0539 for logistics.
ROB-TXN-0072,CASE-0543,10622.07,PERSON-0481 transferred 10622.07 INR to PERSON-0801 for logistics.
ROB-TXN-0073,CASE-1109,52907.97,PERSON-0500 transferred 52907.97 INR to PERSON-0894 for logistics.
ROB-TXN-0074,CASE-0341,60730.04,PERSON-0103 transferred 60730.04 INR to PERSON-0455 for logistics.
ROB-TXN-0075,CASE-1249,45821.0,PERSON-0180 transferred 45821.0 INR to PERSON-0081 for logistics.
ROB-TXN-0076,CASE-0513,31928.53,PERSON-0986 transferred 31928.53 INR to PERSON-0435 for logistics.
ROB-TXN-0077,CASE-1172,63102.63,PERSON-0243 transferred 63102.63 INR to PERSON-0391 for logistics.
ROB-TXN-0078,CASE-0101,68290.87,PERSON-0009 transferred 68290.87 INR to PERSON-0580 for logistics.
ROB-TXN-0079,CASE-0281,35857.62,PERSON-0739 transferred 35857.62 INR to PERSON-0786 for logistics.
ROB-TXN-0080,CASE-0185,14251.19,PERSON-0750 transferred 14251.19 INR to PERSON-0135 for logistics.
ROB-TXN-0081,CASE-1142,42560.06,PERSON-0867 transferred 42560.06 INR to PERSON-0824 for logistics.
ROB-TXN-0082,CASE-0537,21367.53,PERSON-0689 transferred 21367.53 INR to PERSON-0767 for logistics.
ROB-TXN-0083,CASE-1150,9425.19,PERSON-0906 transferred 9425.19 INR to PERSON-0966 for logistics.
ROB-TXN-0084,CASE-0619,7604.85,PERSON-0932 transferred 7604.85 INR to PERSON-0718 for logistics.
ROB-TXN-0085,CASE-0481,51934.04,PERSON-0119 transferred 51934.04 INR to PERSON-0100 for logistics.
ROB-TXN-0086,CASE-0859,34041.92,PERSON-0969 transferred 34041.92 INR to PERSON-0554 for logistics.
ROB-TXN-0087,CASE-0836,30937.1,PERSON-0502 transferred 30937.1 INR to PERSON-0631 for logistics.
ROB-TXN-0088,CASE-0743,68118.73,PERSON-0974 transferred 68118.73 INR to PERSON-0242 for logistics.
ROB-TXN-0089,CASE-0297,65651.35,PERSON-0284 transferred 65651.35 INR to PERSON-0880 for logistics.
ROB-TXN-0090,CASE-0488,13873.1,PERSON-0367 transferred 13873.1 INR to PERSON-0809 for logistics.
ROB-TXN-0091,CASE-0909,15383.37,PERSON-0111 transferred 15383.37 INR to PERSON-0503 for logistics.
ROB-TXN-0092,CASE-1199,46817.43,PERSON-0640 transferred 46817.43 INR to PERSON-0649 for logistics.
ROB-TXN-0093,CASE-0882,50829.91,PERSON-0518 transferred 50829.91 INR to PERSON-0620 for logistics.
ROB-TXN-0094,CASE-0441,62919.35,PERSON-0565 transferred 62919.35 INR to PERSON-0739 for logistics.
ROB-TXN-0095,CASE-0641,15684.72,PERSON-0748 transferred 15684.72 INR to PERSON-0098 for logistics.
ROB-TXN-0096,CASE-1151,66152.52,PERSON-0601 transferred 66152.52 INR to PERSON-0980 for logistics.
ROB-TXN-0097,CASE-0106,45454.3,PERSON-0434 transferred 45454.3 INR to PERSON-0889 for logistics.
ROB-TXN-0098,CASE-0460,58382.39,PERSON-0673 transferred 58382.39 INR to PERSON-0494 for logistics.
ROB-TXN-0099,CASE-0294,56867.83,PERSON-0186 transferred 56867.83 INR to PERSON-0891 for logistics.
ROB-TXN-0100,CASE-1087,30903.72,PERSON-0094 transferred 30903.72 INR to PERSON-0765 for logistics.
ROB-TXN-0101,CASE-1163,57810.51,PERSON-0796 transferred 57810.51 INR to PERSON-0965 for logistics.
ROB-TXN-0102,CASE-0908,24121.68,PERSON-0084 transferred 24121.68 INR to PERSON-0279 for logistics.
ROB-TXN-0103,CASE-0881,51699.28,PERSON-0117 transferred 51699.28 INR to PERSON-0354 for logistics.
ROB-TXN-0104,CASE-0246,31614.52,PERSON-0297 transferred 31614.52 INR to PERSON-0336 for logistics.
ROB-TXN-0105,CASE-0726,37182.8,PERSON-0513 transferred 37182.8 INR to PERSON-0573 for logistics.
ROB-TXN-0106,CASE-0880,33352.26,PERSON-0321 transferred 33352.26 INR to PERSON-0590 for logistics.
ROB-TXN-0107,CASE-0943,35569.82,PERSON-0176 transferred 35569.82 INR to PERSON-0821 for logistics.
ROB-TXN-0108,CASE-0721,8982.3,PERSON-0606 transferred 8982.3 INR to PERSON-0058 for logistics.
ROB-TXN-0109,CASE-0185,43802.15,PERSON-0079 transferred 43802.15 INR to PERSON-0661 for logistics.
ROB-TXN-0110,CASE-0746,59212.54,PERSON-0625 transferred 59212.54 INR to PERSON-0163 for logistics.
ROB-TXN-0111,CASE-0803,31367.55,PERSON-0359 transferred 31367.55 INR to PERSON-0318 for logistics.
ROB-TXN-0112,CASE-1079,30327.97,PERSON-0833 transferred 30327.97 INR to PERSON-0131 for logistics.
ROB-TXN-0113,CASE-0439,20858.01,PERSON-0185 transferred 20858.01 INR to PERSON-0974 for logistics.
ROB-TXN-0114,CASE-0690,31370.39,PERSON-0039 transferred 31370.39 INR to PERSON-0678 for logistics.
ROB-TXN-0115,CASE-0340,55371.0,PERSON-0852 transferred 55371.0 INR to PERSON-0710 for logistics.
ROB-TXN-0116,CASE-0850,74616.77,PERSON-0953 transferred 74616.77 INR to PERSON-0028 for logistics.
ROB-TXN-0117,CASE-0203,15223.45,PERSON-0029 transferred 15223.45 INR to PERSON-0327 for logistics.
ROB-TXN-0118,CASE-0228,21690.77,PERSON-0541 transferred 21690.77 INR to PERSON-0434 for logistics.
ROB-TXN-0119,CASE-0129,42523.76,PERSON-0638 transferred 42523.76 INR to PERSON-0469 for logistics.
ROB-TXN-0120,CASE-0295,34159.73,PERSON-0589 transferred 34159.73 INR to PERSON-0248 for logistics.
ROB-TXN-0121,CASE-0042,32081.69,PERSON-0520 transferred 32081.69 INR to PERSON-0568 for logistics.
ROB-TXN-0122,CASE-0681,49995.69,PERSON-0791 transferred 49995.69 INR to PERSON-0596 for logistics.
ROB-TXN-0123,CASE-0981,59333.33,PERSON-0702 transferred 59333.33 INR to PERSON-0476 for logistics.
ROB-TXN-0124,CASE-0090,26705.31,PERSON-0301 transferred 26705.31 INR to PERSON-0207 for logistics.
ROB-TXN-0125,CASE-0970,65349.7,PERSON-0835 transferred 65349.7 INR to PERSON-0557 for logistics.
ROB-TXN-0126,CASE-0560,33001.52,PERSON-0672 transferred 33001.52 INR to PERSON-0340 for logistics.
ROB-TXN-0127,CASE-0695,60810.36,PERSON-0980 transferred 60810.36 INR to PERSON-0396 for logistics.
ROB-TXN-0128,CASE-0606,36073.59,PERSON-0082 transferred 36073.59 INR to PERSON-0336 for logistics.
ROB-TXN-0129,CASE-0723,73601.91,PERSON-0745 transferred 73601.91 INR to PERSON-0891 for logistics.
ROB-TXN-0130,CASE-0158,50469.25,PERSON-0381 transferred 50469.25 INR to PERSON-0455 for logistics.
ROB-TXN-0131,CASE-0382,59247.51,PERSON-0117 transferred 59247.51 INR to PERSON-0027 for logistics.
ROB-TXN-0132,CASE-0585,13584.62,PERSON-0220 transferred 13584.62 INR to PERSON-0627 for logistics.
ROB-TXN-0133,CASE-0357,19068.63,PERSON-0950 transferred 19068.63 INR to PERSON-0718 for logistics.
ROB-TXN-0134,CASE-0054,73810.84,PERSON-0810 transferred 73810.84 INR to PERSON-0506 for logistics.
ROB-TXN-0135,CASE-0332,71323.82,PERSON-0312 transferred 71323.82 INR to PERSON-0169 for logistics.
ROB-TXN-0136,CASE-0162,48751.57,PERSON-0291 transferred 48751.57 INR to PERSON-0867 for logistics.
ROB-TXN-0137,CASE-0346,51111.3,PERSON-0096 transferred 51111.3 INR to PERSON-0515 for logistics.
ROB-TXN-0138,CASE-0035,250.0,PERSON-0307 transferred 250.0 INR to PERSON-0487 for retail item.
ROB-TXN-0139,CASE-0225,250.0,PERSON-0378 transferred 250.0 INR to PERSON-0340 for retail item.
ROB-TXN-0140,CASE-0631,250.0,PERSON-0427 transferred 250.0 INR to PERSON-0598 for retail item.
ROB-TXN-0141,CASE-0055,250.0,PERSON-0816 transferred 250.0 INR to PERSON-0921 for retail item.
ROB-TXN-0142,CASE-0544,250.0,PERSON-0612 transferred 250.0 INR to PERSON-0486 for retail item.
ROB-TXN-0143,CASE-1185,250.0,PERSON-0991 transferred 250.0 INR to PERSON-0672 for retail item.
ROB-TXN-0144,CASE-0106,250.0,PERSON-0592 transferred 250.0 INR to PERSON-0234 for retail item.
ROB-TXN-0145,CASE-0350,250.0,PERSON-0598 transferred 250.0 INR to PERSON-0492 for retail item.
ROB-TXN-0146,CASE-0779,250.0,PERSON-0537 transferred 250.0 INR to PERSON-0645 for retail item.
ROB-TXN-0147,CASE-0497,250.0,PERSON-0152 transferred 250.0 INR to PERSON-0842 for retail item.
ROB-TXN-0148,CASE-0226,250.0,PERSON-0033 transferred 250.0 INR to PERSON-0587 for retail item.
ROB-TXN-0149,CASE-0904,250.0,PERSON-0196 transferred 250.0 INR to PERSON-0020 for retail item.
ROB-TXN-0150,CASE-0311,250.0,PERSON-0322 transferred 250.0 INR to PERSON-0429 for retail item.
ROB-TXN-0151,CASE-0418,250.0,PERSON-0423 transferred 250.0 INR to PERSON-0708 for retail item.
ROB-TXN-0152,CASE-0966,250.0,PERSON-0421 transferred 250.0 INR to PERSON-0514 for retail item.
ROB-TXN-0153,CASE-0128,250.0,PERSON-0894 transferred 250.0 INR to PERSON-0869 for retail item.
ROB-TXN-0154,CASE-1063,250.0,PERSON-0723 transferred 250.0 INR to PERSON-0142 for retail item.
ROB-TXN-0155,CASE-0666,250.0,PERSON-0213 transferred 250.0 INR to PERSON-0575 for retail item.
ROB-TXN-0156,CASE-1077,250.0,PERSON-0679 transferred 250.0 INR to PERSON-0490 for retail item.
ROB-TXN-0157,CASE-0355,250.0,PERSON-0386 transferred 250.0 INR to PERSON-0322 for retail item.
ROB-TXN-0158,CASE-1092,150000.0,PERSON-0471 transferred 150000.0 INR to PERSON-0935 for building hardware supplier invoice.
ROB-TXN-0159,CASE-0726,150000.0,PERSON-0351 transferred 150000.0 INR to PERSON-0560 for building hardware supplier invoice.
ROB-TXN-0160,CASE-0542,150000.0,PERSON-0693 transferred 150000.0 INR to PERSON-0791 for building hardware supplier invoice.
ROB-TXN-0161,CASE-0394,150000.0,PERSON-0625 transferred 150000.0 INR to PERSON-0496 for building hardware supplier invoice.
ROB-TXN-0162,CASE-0572,150000.0,PERSON-0981 transferred 150000.0 INR to PERSON-0253 for building hardware supplier invoice.
ROB-TXN-0163,CASE-0461,150000.0,PERSON-0572 transferred 150000.0 INR to PERSON-0306 for building hardware supplier invoice.
ROB-TXN-0164,CASE-0610,150000.0,PERSON-0965 transferred 150000.0 INR to PERSON-0997 for building hardware supplier invoice.
ROB-TXN-0165,CASE-0425,150000.0,PERSON-0790 transferred 150000.0 INR to PERSON-0296 for building hardware supplier invoice.
ROB-TXN-0166,CASE-1002,150000.0,PERSON-0707 transferred 150000.0 INR to PERSON-0722 for building hardware supplier invoice.
ROB-TXN-0167,CASE-0715,150000.0,PERSON-0325 transferred 150000.0 INR to PERSON-0492 for building hardware supplier invoice.
ROB-TXN-0168,CASE-0561,150000.0,PERSON-0574 transferred 150000.0 INR to PERSON-0957 for building hardware supplier invoice.
ROB-TXN-0169,CASE-1175,150000.0,PERSON-0295 transferred 150000.0 INR to PERSON-0125 for building hardware supplier invoice.
ROB-TXN-0170,CASE-0778,150000.0,PERSON-0693 transferred 150000.0 INR to PERSON-0557 for building hardware supplier invoice.
ROB-TXN-0171,CASE-0707,150000.0,PERSON-0918 transferred 150000.0 INR to PERSON-0405 for building hardware supplier invoice.
ROB-TXN-0172,CASE-0300,150000.0,PERSON-0978 transferred 150000.0 INR to PERSON-0792 for building hardware supplier invoice.
ROB-TXN-0173,CASE-1056,450.0,PERSON-0847 transferred 450.0 INR to PERSON-0438 for cab fare.
ROB-TXN-0174,CASE-0821,450.0,PERSON-0336 transferred 450.0 INR to PERSON-0089 for cab fare.
ROB-TXN-0175,CASE-0379,450.0,PERSON-0686 transferred 450.0 INR to PERSON-0098 for cab fare.
ROB-TXN-0176,CASE-0663,450.0,PERSON-0144 transferred 450.0 INR to PERSON-0489 for cab fare.
ROB-TXN-0177,CASE-0014,450.0,PERSON-0959 transferred 450.0 INR to PERSON-0255 for cab fare.
ROB-TXN-0178,CASE-0483,450.0,PERSON-0268 transferred 450.0 INR to PERSON-0393 for cab fare.
ROB-TXN-0179,CASE-0547,450.0,PERSON-0458 transferred 450.0 INR to PERSON-0772 for cab fare.
ROB-TXN-0180,CASE-0619,450.0,PERSON-0977 transferred 450.0 INR to PERSON-0338 for cab fare.
ROB-TXN-0181,CASE-1174,450.0,PERSON-0597 transferred 450.0 INR to PERSON-0741 for cab fare.
ROB-TXN-0182,CASE-0737,450.0,PERSON-0012 transferred 450.0 INR to PERSON-0268 for cab fare.
ROB-TXN-0183,CASE-0128,450.0,PERSON-0710 transferred 450.0 INR to PERSON-0242 for cab fare.
ROB-TXN-0184,CASE-0954,450.0,PERSON-0684 transferred 450.0 INR to PERSON-0122 for cab fare.
ROB-TXN-0185,CASE-0831,450.0,PERSON-0315 transferred 450.0 INR to PERSON-0164 for cab fare.
ROB-TXN-0186,CASE-0637,450.0,PERSON-0703 transferred 450.0 INR to PERSON-0515 for cab fare.
ROB-TXN-0187,CASE-0605,450.0,PERSON-0707 transferred 450.0 INR to PERSON-0121 for cab fare.
