entity_a,entity_b,ground_truth,category,string_similarity,embedding_similarity,attribute_similarity,final_score,decision
Nitin Ali,Nitia Ali,1,ALIAS_MUTATION,0.8889,0.8035,0.5,0.777,POSSIBLE_MATCH
Naveen Tiwari,Naveea Tiwari,1,ALIAS_MUTATION,0.9231,0.9307,0.5,0.8415,POSSIBLE_MATCH
Dinesh Chatterjee,Dinesh Cha.,1,ALIAS_MUTATION,0.7407,0.6333,0.5,0.6496,NO_MATCH
Sanjay Bansal,Sanjay Sonu,1,ALIAS_MUTATION,0.6667,0.7309,0.5,0.659,POSSIBLE_MATCH
Ashok Khan,Ashok Guddu,1,ALIAS_MUTATION,0.5714,0.7514,0.5,0.6292,NO_MATCH
Dinesh Bansal,Dinesh Ban.,1,ALIAS_MUTATION,0.8696,0.8371,0.5,0.7827,POSSIBLE_MATCH
Sachin Goyal,Sachin Dada,1,ALIAS_MUTATION,0.6957,0.6842,0.5,0.6519,POSSIBLE_MATCH
Radha Goyal,Radha Goyal,1,ALIAS_MUTATION,1.0,1.0,0.5,0.9,MATCH
Ajay Roy,Ajaa Roy,1,ALIAS_MUTATION,0.875,0.8987,0.5,0.8095,POSSIBLE_MATCH
Vivek Banerjee,Vivek Ban.,1,ALIAS_MUTATION,0.7826,0.5588,0.5,0.6366,NO_MATCH
Vikram Mehta,Vikram Meh.,1,ALIAS_MUTATION,0.9091,0.9074,0.5,0.8266,POSSIBLE_MATCH
Dharmendra Patel,Dharmendra Ustad,1,ALIAS_MUTATION,0.75,0.6206,0.5,0.6482,NO_MATCH
Pankaj Joshi,Pankaa Joshi,1,ALIAS_MUTATION,0.9167,0.9491,0.5,0.8463,POSSIBLE_MATCH
Abhishek Singh,Abhishea Singh,1,ALIAS_MUTATION,0.9286,0.9399,0.5,0.8474,POSSIBLE_MATCH
Champa Agarwal,Champa Agarwal,1,ALIAS_MUTATION,1.0,1.0,0.5,0.9,MATCH
Abhishek Ahmed,Abhishek Ahm.,1,ALIAS_MUTATION,0.9231,0.6637,0.5,0.7347,POSSIBLE_MATCH
Vijay Hussain,Vijaa Hussain,1,ALIAS_MUTATION,0.9231,0.697,0.5,0.748,POSSIBLE_MATCH
Naveen Mehta,Naveen Meh.,1,ALIAS_MUTATION,0.9091,0.7643,0.5,0.7693,POSSIBLE_MATCH
Mukesh Kumar,Mukesh Bhai,1,ALIAS_MUTATION,0.6957,0.747,0.5,0.677,POSSIBLE_MATCH
Deepak Kumar,Deepak Ustad,1,ALIAS_MUTATION,0.75,0.6059,0.5,0.6424,NO_MATCH
Ramesh Verma,Ramesh Ver.,1,ALIAS_MUTATION,0.9091,0.8006,0.5,0.7839,POSSIBLE_MATCH
Neetu Garg,Neetu Dada,1,ALIAS_MUTATION,0.7,0.6536,0.5,0.6414,NO_MATCH
Amit Shukla,Amia Shukla,1,ALIAS_MUTATION,0.9091,0.8713,0.5,0.8122,POSSIBLE_MATCH
Sunil Garg,Sunil Bhai,1,ALIAS_MUTATION,0.7,0.6313,0.5,0.6325,NO_MATCH
Pradeep Joshi,Pradeea Joshi,1,ALIAS_MUTATION,0.9231,0.9467,0.5,0.8479,POSSIBLE_MATCH
Jyoti Singh,Jyota Singh,1,ALIAS_MUTATION,0.9091,0.9632,0.5,0.8489,POSSIBLE_MATCH
Harish Sharma,Harisa Sharma,1,ALIAS_MUTATION,0.9231,0.9625,0.5,0.8542,MATCH
Anita Das,Anita Das.,1,ALIAS_MUTATION,1.0,1.0,0.5,0.9,MATCH
Rakesh Mehta,Rakesh Meh.,1,ALIAS_MUTATION,0.9091,0.8328,0.5,0.7968,POSSIBLE_MATCH
Satish Yadav,Satisa Yadav,1,ALIAS_MUTATION,0.9167,0.856,0.5,0.8091,POSSIBLE_MATCH
Dinesh Agarwal,Dinesa Agarwal,1,ALIAS_MUTATION,0.9286,0.8822,0.5,0.8243,POSSIBLE_MATCH
Ashok Goyal,Ashok Chhota,1,ALIAS_MUTATION,0.6957,0.6131,0.5,0.6235,NO_MATCH
Rakesh Shukla,Rakesh Sonu,1,ALIAS_MUTATION,0.75,0.6583,0.5,0.6633,POSSIBLE_MATCH
Ashok Mehta,Ashok Dada,1,ALIAS_MUTATION,0.6667,0.7427,0.5,0.6637,POSSIBLE_MATCH
Ajay Chatterjee,Ajaa Chatterjee,1,ALIAS_MUTATION,0.9333,0.9621,0.5,0.8582,MATCH
Deepak Kumar,Deepak Kum.,1,ALIAS_MUTATION,0.9091,0.6315,0.5,0.7163,POSSIBLE_MATCH
Rakesh Goyal,Rakesa Goyal,1,ALIAS_MUTATION,0.9167,0.9366,0.5,0.8413,POSSIBLE_MATCH
Harish Shukla,Harisa Shukla,1,ALIAS_MUTATION,0.9231,0.9427,0.5,0.8463,POSSIBLE_MATCH
Anil Sarkar,Ania Sarkar,1,ALIAS_MUTATION,0.9091,0.8066,0.5,0.7863,POSSIBLE_MATCH
Sanjay Verma,Sanjay Bhai,1,ALIAS_MUTATION,0.6957,0.7681,0.5,0.6855,POSSIBLE_MATCH
Reena Mittal,Reena Sonu,1,ALIAS_MUTATION,0.5455,0.5879,0.5,0.5533,NO_MATCH
Kamla Goyal,Kamla Goyal,1,ALIAS_MUTATION,1.0,1.0,0.5,0.9,MATCH
Anil Mittal,Ania Mittal,1,ALIAS_MUTATION,0.9091,0.7791,0.5,0.7753,POSSIBLE_MATCH
Shobha Chatterjee,Shobha Chatterjee,1,ALIAS_MUTATION,1.0,1.0,0.5,0.9,MATCH
Pooja Dutta,Pooja Sonu,1,ALIAS_MUTATION,0.6667,0.7523,0.5,0.6676,POSSIBLE_MATCH
Vijay Singhal,Vijay Sonu,1,ALIAS_MUTATION,0.6957,0.7493,0.5,0.678,POSSIBLE_MATCH
Jitendra Bhattacharya,Jitendra Chhota,1,ALIAS_MUTATION,0.6667,0.6785,0.5,0.6381,NO_MATCH
Rajesh Hussain,Rajesh Dada,1,ALIAS_MUTATION,0.64,0.7003,0.5,0.6361,NO_MATCH
Jitendra Ali,Jitendra Ali.,1,ALIAS_MUTATION,1.0,1.0,0.5,0.9,MATCH
Radha Singh,Radha Singh,1,ALIAS_MUTATION,1.0,1.0,0.5,0.9,MATCH
Amit Goyal,Amit Dada,1,ALIAS_MUTATION,0.6316,0.5978,0.5,0.5917,NO_MATCH
Abhishek Kumar,Abhishek Kum.,1,ALIAS_MUTATION,0.9231,0.6793,0.5,0.741,POSSIBLE_MATCH
Pushpa Sarkar,Pushpa Sar.,1,ALIAS_MUTATION,0.8696,0.8319,0.5,0.7806,POSSIBLE_MATCH
Pankaj Bose,Pankaa Bose,1,ALIAS_MUTATION,0.9091,0.9233,0.5,0.833,POSSIBLE_MATCH
Devendra Ali,Devendra Ali.,1,ALIAS_MUTATION,1.0,1.0,0.5,0.9,MATCH
Harish Sarkar,Harisa Sarkar,1,ALIAS_MUTATION,0.9231,0.9495,0.5,0.849,POSSIBLE_MATCH
Satish Sharma,Satish Guddu,1,ALIAS_MUTATION,0.56,0.553,0.5,0.5452,NO_MATCH
Abhishek Mittal,Abhishek Mit.,1,ALIAS_MUTATION,0.8889,0.8485,0.5,0.795,POSSIBLE_MATCH
Abhishek Mittal,Abhishek Chhota,1,ALIAS_MUTATION,0.7333,0.6653,0.5,0.6594,POSSIBLE_MATCH
Nitin Singh,Nitin Sin.,1,ALIAS_MUTATION,0.9,0.4629,0.5,0.6452,NO_MATCH
Jitendra Goyal,Jitendra Dada,1,ALIAS_MUTATION,0.7407,0.7203,0.5,0.6844,POSSIBLE_MATCH
Usha Kumar,Usha Kumar,1,ALIAS_MUTATION,1.0,1.0,0.5,0.9,MATCH
Abhishek Yadav,Abhishek Yad.,1,ALIAS_MUTATION,0.9231,0.7579,0.5,0.7724,POSSIBLE_MATCH
Deepak Sarkar,Deepak Chhota,1,ALIAS_MUTATION,0.6154,0.5853,0.5,0.5803,NO_MATCH
Abhishek Ahmed,Abhishek Ahm.,1,ALIAS_MUTATION,0.9231,0.6637,0.5,0.7347,POSSIBLE_MATCH
Vivek Das,Vivek Dada,1,ALIAS_MUTATION,0.8421,0.6295,0.5,0.6886,POSSIBLE_MATCH
Gaurav Kumar,Gaurav Kum.,1,ALIAS_MUTATION,0.9091,0.6492,0.5,0.7233,POSSIBLE_MATCH
Rakesh Shukla,Rakesh Shu.,1,ALIAS_MUTATION,0.8696,0.8205,0.5,0.776,POSSIBLE_MATCH
Pushpa Chakraborty,Pushpa Cha.,1,ALIAS_MUTATION,0.7143,0.7635,0.5,0.6911,POSSIBLE_MATCH
Reena Roy,Reena Roy.,1,ALIAS_MUTATION,1.0,1.0,0.5,0.9,MATCH
Manish Dutta,Manish Dut.,1,ALIAS_MUTATION,0.9091,0.7657,0.5,0.7699,POSSIBLE_MATCH
Sachin Bhattacharya,Sachia Bhattacharya,1,ALIAS_MUTATION,0.9474,0.7893,0.5,0.7947,POSSIBLE_MATCH
Anita Verma,Anita Dada,1,ALIAS_MUTATION,0.6667,0.7488,0.5,0.6662,POSSIBLE_MATCH
Reena Banerjee,Reena Ban.,1,ALIAS_MUTATION,0.7826,0.4748,0.5,0.603,NO_MATCH
Vandana Verma,Vandana Verma,1,ALIAS_MUTATION,1.0,1.0,0.5,0.9,MATCH
Arjun Ansari,Arjun Guddu,1,ALIAS_MUTATION,0.5217,0.7067,0.5,0.5914,NO_MATCH
Suresh Singh,Suresh Guddu,1,ALIAS_MUTATION,0.6667,0.481,0.5,0.5591,NO_MATCH
Asha Mittal,Asha Mittal,1,ALIAS_MUTATION,1.0,1.0,0.5,0.9,MATCH
Sachin Shukla,Sachin Shu.,1,ALIAS_MUTATION,0.8696,0.8461,0.5,0.7863,POSSIBLE_MATCH
Vijay Sharma,Vijay Sha.,1,ALIAS_MUTATION,0.8571,0.7828,0.5,0.756,POSSIBLE_MATCH
Sarita Shukla,Sarita Shu.,1,ALIAS_MUTATION,0.8696,0.8269,0.5,0.7786,POSSIBLE_MATCH
Rohit Khan,Rohit Kha.,1,ALIAS_MUTATION,0.9474,0.6844,0.5,0.7527,POSSIBLE_MATCH
Kavita Kumar,Kavita Kum.,1,ALIAS_MUTATION,0.9091,0.6936,0.5,0.7411,POSSIBLE_MATCH
Vandana Hussain,Vandana Dada,1,ALIAS_MUTATION,0.6667,0.7222,0.5,0.6555,POSSIBLE_MATCH
Sachin Agarwal,Sachin Aga.,1,ALIAS_MUTATION,0.8333,0.8645,0.5,0.7791,POSSIBLE_MATCH
Kunal Dutta,Kunal Dut.,1,ALIAS_MUTATION,0.9,0.8149,0.5,0.7859,POSSIBLE_MATCH
Champa Kaur,Champa Kau.,1,ALIAS_MUTATION,0.9524,0.9108,0.5,0.8453,POSSIBLE_MATCH
Mukesh Jain,Mukesh Jai.,1,ALIAS_MUTATION,0.9524,0.5493,0.5,0.7007,POSSIBLE_MATCH
Kamla Ansari,Kamla Ansari,1,ALIAS_MUTATION,1.0,1.0,0.5,0.9,MATCH
Sumit Verma,Sumit Ver.,1,ALIAS_MUTATION,0.9,0.786,0.5,0.7744,POSSIBLE_MATCH
Abhishek Mishra,Abhishek Chhota,1,ALIAS_MUTATION,0.7333,0.5547,0.5,0.6152,NO_MATCH
Champa Tiwari,Champa Chhota,1,ALIAS_MUTATION,0.6923,0.6279,0.5,0.6281,NO_MATCH
Santosh Shukla,Santosh Shu.,1,ALIAS_MUTATION,0.88,0.7813,0.5,0.7645,POSSIBLE_MATCH
Vivek Bhattacharya,Vivea Bhattacharya,1,ALIAS_MUTATION,0.9444,0.9284,0.5,0.8492,POSSIBLE_MATCH
Seema Mehta,Seema Chhota,1,ALIAS_MUTATION,0.7826,0.5466,0.5,0.6317,NO_MATCH
Manju Patel,Manja Patel,1,ALIAS_MUTATION,0.9091,0.9212,0.5,0.8321,POSSIBLE_MATCH
Abhishek Goyal,Abhishek Guddu,1,ALIAS_MUTATION,0.7143,0.7226,0.5,0.6748,POSSIBLE_MATCH
Nitin Bose,Nitia Bose,1,ALIAS_MUTATION,0.9,0.808,0.5,0.7832,POSSIBLE_MATCH
Alok Ansari,Aloa Ansari,1,ALIAS_MUTATION,0.9091,0.8717,0.5,0.8123,POSSIBLE_MATCH
Sumit Mehta,Sumit Sonu,1,ALIAS_MUTATION,0.5714,0.6604,0.5,0.5927,NO_MATCH
Hemant Pandey,Hemant Pan.,1,ALIAS_MUTATION,0.8696,0.7931,0.5,0.765,POSSIBLE_MATCH
Anil Kaur,Anil Ustad,1,ALIAS_MUTATION,0.6316,0.7307,0.5,0.6449,NO_MATCH
Santosh Ali,Santosh Bhai,1,ALIAS_MUTATION,0.8696,0.7049,0.5,0.7298,POSSIBLE_MATCH
Kavita Chakraborty,Kavita Dada,1,ALIAS_MUTATION,0.6207,0.644,0.5,0.6059,NO_MATCH
Kusum Singhal,Kusum Sin.,1,ALIAS_MUTATION,0.8182,0.5567,0.5,0.6499,NO_MATCH
Jitendra Joshi,Jitendra Joshi,1,ALIAS_MUTATION,1.0,1.0,0.5,0.9,MATCH
Amit Bhattacharya,Amia Bhattacharya,1,ALIAS_MUTATION,0.9412,0.8751,0.5,0.8265,POSSIBLE_MATCH
Kamla Kaur,Kamla Kau.,1,ALIAS_MUTATION,0.9474,0.9239,0.5,0.8485,POSSIBLE_MATCH
Pawan Shukla,Pawan Shu.,1,ALIAS_MUTATION,0.8571,0.8235,0.5,0.7723,POSSIBLE_MATCH
Lata Chakraborty,Lata Cha.,1,ALIAS_MUTATION,0.6667,0.7344,0.5,0.6604,POSSIBLE_MATCH
Vijay Das,Vijay Das.,1,ALIAS_MUTATION,1.0,1.0,0.5,0.9,MATCH
Pawan Kaur,Pawan Dada,1,ALIAS_MUTATION,0.7,0.7707,0.5,0.6883,POSSIBLE_MATCH
Babita Kumar,Babita Chhota,1,ALIAS_MUTATION,0.64,0.6265,0.5,0.6066,NO_MATCH
Ashok Das,Ashok Guddu,1,ALIAS_MUTATION,0.7,0.7395,0.5,0.6758,POSSIBLE_MATCH
Sunil Siddiqui,Sunil Guddu,1,ALIAS_MUTATION,0.72,0.6559,0.5,0.6504,POSSIBLE_MATCH
Santosh Goyal,Santosa Goyal,1,ALIAS_MUTATION,0.9231,0.9029,0.5,0.8304,POSSIBLE_MATCH
Satish Banerjee,Satish Bhai,1,ALIAS_MUTATION,0.6923,0.5771,0.5,0.6078,NO_MATCH
Sachin Chakraborty,Sachia Chakraborty,1,ALIAS_MUTATION,0.9444,0.7364,0.5,0.7723,POSSIBLE_MATCH
Manju Agarwal,Manja Agarwal,1,ALIAS_MUTATION,0.9231,0.8742,0.5,0.8189,POSSIBLE_MATCH
Vandana Gupta,Vandana Gupta,1,ALIAS_MUTATION,1.0,1.0,0.5,0.9,MATCH
Manoj Agarwal,Manoj Aga.,1,ALIAS_MUTATION,0.8182,0.8075,0.5,0.7503,POSSIBLE_MATCH
Rajesh Kumar,Rajesa Kumar,1,ALIAS_MUTATION,0.9167,0.9073,0.5,0.8296,POSSIBLE_MATCH
Sangeeta Joshi,Sangeeta Dada,1,ALIAS_MUTATION,0.6667,0.6007,0.5,0.607,NO_MATCH
Vivek Ansari,Vivea Ansari,1,ALIAS_MUTATION,0.9167,0.8751,0.5,0.8167,POSSIBLE_MATCH
Manish Mukherjee,Manisa Mukherjee,1,ALIAS_MUTATION,0.9375,0.9762,0.5,0.8655,MATCH
Manoj Tiwari,Manoa Tiwari,1,ALIAS_MUTATION,0.9167,0.8798,0.5,0.8186,POSSIBLE_MATCH
Vikram Shukla,Vikram Shu.,1,ALIAS_MUTATION,0.8696,0.911,0.5,0.8122,POSSIBLE_MATCH
Anil Jain,Anil Sonu,1,ALIAS_MUTATION,0.6667,0.4847,0.5,0.5605,NO_MATCH
Sushma Joshi,Sushma Jos.,1,ALIAS_MUTATION,0.9091,0.5934,0.5,0.701,POSSIBLE_MATCH
Shashi Ahmed,Shashi Dada,1,ALIAS_MUTATION,0.7826,0.6674,0.5,0.68,POSSIBLE_MATCH
Santosh Pandey,Santosa Pandey,1,ALIAS_MUTATION,0.9286,0.8945,0.5,0.8292,POSSIBLE_MATCH
Rohit Bansal,Rohia Bansal,1,ALIAS_MUTATION,0.9167,0.8341,0.5,0.8003,POSSIBLE_MATCH
Rajesh Sarkar,Rajesh Sar.,1,ALIAS_MUTATION,0.8696,0.8587,0.5,0.7913,POSSIBLE_MATCH
Santosh Chatterjee,Alok Chatterjee,0,SHARED_SURNAME_SAME_LOCALITY,0.7879,0.7682,0.5,0.7224,POSSIBLE_MATCH
Rohit Singh,Santosh Singh,0,SHARED_SURNAME_SAME_LOCALITY,0.6667,0.7731,0.5,0.6759,POSSIBLE_MATCH
Vijay Banerjee,Vivek Banerjee,0,SHARED_SURNAME_SAME_LOCALITY,0.7857,0.7669,0.5,0.721,POSSIBLE_MATCH
Ashok Shukla,Reena Shukla,0,SHARED_SURNAME_SAME_LOCALITY,0.6667,0.636,0.5,0.6211,NO_MATCH
Ashok Garg,Ashok Garg,0,SHARED_SURNAME_SAME_LOCALITY,1.0,1.0,0.5,0.9,MATCH
Santosh Joshi,Hemant Joshi,0,SHARED_SURNAME_SAME_LOCALITY,0.72,0.7647,0.5,0.6939,POSSIBLE_MATCH
Sangeeta Das,Kusum Das,0,SHARED_SURNAME_SAME_LOCALITY,0.4762,0.6637,0.5,0.5559,NO_MATCH
Sanjay Jain,Rajesh Jain,0,SHARED_SURNAME_SAME_LOCALITY,0.5455,0.8664,0.5,0.6647,POSSIBLE_MATCH
Sunil Qureshi,Seema Qureshi,0,SHARED_SURNAME_SAME_LOCALITY,0.6923,0.7038,0.5,0.6585,POSSIBLE_MATCH
Manoj Tiwari,Anita Tiwari,0,SHARED_SURNAME_SAME_LOCALITY,0.75,0.6159,0.5,0.6464,NO_MATCH
Mukesh Khan,Nitin Khan,0,SHARED_SURNAME_SAME_LOCALITY,0.4762,0.6848,0.5,0.5644,NO_MATCH
Ajay Roy,Pradeep Roy,0,SHARED_SURNAME_SAME_LOCALITY,0.5263,0.6205,0.5,0.5587,NO_MATCH
Santosh Mittal,Geeta Mittal,0,SHARED_SURNAME_SAME_LOCALITY,0.6154,0.5644,0.5,0.5719,NO_MATCH
Harish Bhattacharya,Pankaj Bhattacharya,0,SHARED_SURNAME_SAME_LOCALITY,0.7368,0.7315,0.5,0.6873,POSSIBLE_MATCH
Abhishek Yadav,Satish Yadav,0,SHARED_SURNAME_SAME_LOCALITY,0.7692,0.7294,0.5,0.6995,POSSIBLE_MATCH
Suresh Ansari,Arjun Ansari,0,SHARED_SURNAME_SAME_LOCALITY,0.64,0.6192,0.5,0.6037,NO_MATCH
Hemant Ahmed,Suresh Ahmed,0,SHARED_SURNAME_SAME_LOCALITY,0.5833,0.696,0.5,0.6118,NO_MATCH
Manish Verma,Sarita Verma,0,SHARED_SURNAME_SAME_LOCALITY,0.6667,0.6702,0.5,0.6347,NO_MATCH
Ashok Mukherjee,Jitendra Mukherjee,0,SHARED_SURNAME_SAME_LOCALITY,0.6667,0.8319,0.5,0.6994,POSSIBLE_MATCH
Manish Kaur,Sushma Kaur,0,SHARED_SURNAME_SAME_LOCALITY,0.6364,0.6533,0.5,0.6159,NO_MATCH
Sangeeta Hussain,Radha Hussain,0,SHARED_SURNAME_SAME_LOCALITY,0.6897,0.6687,0.5,0.6433,NO_MATCH
Naveen Bose,Alok Bose,0,SHARED_SURNAME_SAME_LOCALITY,0.6,0.7142,0.5,0.6257,NO_MATCH
Pawan Gupta,Devendra Gupta,0,SHARED_SURNAME_SAME_LOCALITY,0.56,0.792,0.5,0.6408,NO_MATCH
Arjun Sen,Suresh Sen,0,SHARED_SURNAME_SAME_LOCALITY,0.5263,0.3361,0.5,0.445,NO_MATCH
Sachin Kumar,Deepak Kumar,0,SHARED_SURNAME_SAME_LOCALITY,0.5833,0.7024,0.5,0.6143,NO_MATCH
Manoj Pandey,Ashok Pandey,0,SHARED_SURNAME_SAME_LOCALITY,0.75,0.4923,0.5,0.5969,NO_MATCH
Vivek Chakraborty,Sachin Chakraborty,0,SHARED_SURNAME_SAME_LOCALITY,0.7429,0.6233,0.5,0.6465,NO_MATCH
Dinesh Goyal,Rahul Goyal,0,SHARED_SURNAME_SAME_LOCALITY,0.6087,0.7372,0.5,0.6384,NO_MATCH
Sunita Dutta,Suresh Dutta,0,SHARED_SURNAME_SAME_LOCALITY,0.6667,0.5569,0.5,0.5894,NO_MATCH
Amit Ali,Reena Ali,0,SHARED_SURNAME_SAME_LOCALITY,0.5882,0.6076,0.5,0.5783,NO_MATCH
Rohit Singhal,Suresh Singhal,0,SHARED_SURNAME_SAME_LOCALITY,0.7407,0.6813,0.5,0.6688,POSSIBLE_MATCH
Sunil Patel,Shashi Patel,0,SHARED_SURNAME_SAME_LOCALITY,0.6957,0.7955,0.5,0.6964,POSSIBLE_MATCH
Sumit Agarwal,Ajay Agarwal,0,SHARED_SURNAME_SAME_LOCALITY,0.64,0.7698,0.5,0.6639,POSSIBLE_MATCH
Nitin Mishra,Reena Mishra,0,SHARED_SURNAME_SAME_LOCALITY,0.6667,0.6591,0.5,0.6303,NO_MATCH
Jitendra Sharma,Vivek Sharma,0,SHARED_SURNAME_SAME_LOCALITY,0.6667,0.7133,0.5,0.652,POSSIBLE_MATCH
Asha Sarkar,Pushpa Sarkar,0,SHARED_SURNAME_SAME_LOCALITY,0.8333,0.6686,0.5,0.7008,POSSIBLE_MATCH
Ritu Bansal,Deepak Bansal,0,SHARED_SURNAME_SAME_LOCALITY,0.5833,0.6836,0.5,0.6068,NO_MATCH
Sumit Mehta,Naveen Mehta,0,SHARED_SURNAME_SAME_LOCALITY,0.5217,0.7865,0.5,0.6233,NO_MATCH
Suresh Siddiqui,Harish Siddiqui,0,SHARED_SURNAME_SAME_LOCALITY,0.8,0.6747,0.5,0.6899,POSSIBLE_MATCH
Kunal Ghosh,Kiran Ghosh,0,SHARED_SURNAME_SAME_LOCALITY,0.7273,0.6934,0.5,0.6683,POSSIBLE_MATCH
K. Ghosh,Kiran Ghosh,0,INITIAL_VS_DIFFERENT_PERSON,0.7778,0.736,0.5,0.7055,POSSIBLE_MATCH
S. Chatterjee,Alok Chatterjee,0,INITIAL_VS_DIFFERENT_PERSON,0.8148,0.7692,0.5,0.7336,POSSIBLE_MATCH
V. Banerjee,Vivek Banerjee,0,INITIAL_VS_DIFFERENT_PERSON,0.8333,0.8454,0.5,0.7715,POSSIBLE_MATCH
S. Das,Kusum Das,0,INITIAL_VS_DIFFERENT_PERSON,0.7143,0.7016,0.5,0.6664,POSSIBLE_MATCH
A. Sen,Suresh Sen,0,INITIAL_VS_DIFFERENT_PERSON,0.5333,0.5633,0.5,0.5386,NO_MATCH
N. Bose,Alok Bose,0,INITIAL_VS_DIFFERENT_PERSON,0.6667,0.7508,0.5,0.667,POSSIBLE_MATCH
A. Mukherjee,Jitendra Mukherjee,0,INITIAL_VS_DIFFERENT_PERSON,0.7586,0.815,0.5,0.7295,POSSIBLE_MATCH
S. Dutta,Suresh Dutta,0,INITIAL_VS_DIFFERENT_PERSON,0.7368,0.6818,0.5,0.6674,POSSIBLE_MATCH
Ashok Shukla,Ashok Garg,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.6364,0.7195,0.5,0.6424,NO_MATCH
Vivek Chakraborty,Vivek Banerjee,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.5161,0.5961,0.5,0.5449,NO_MATCH
Nitin Gupta,Nitin Mishra,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.6087,0.6084,0.5,0.5868,NO_MATCH
Deepak Bansal,Deepak Kumar,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.64,0.6628,0.5,0.6211,NO_MATCH
Poonam Roy,Poonam Sen,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.7,0.6041,0.5,0.6217,NO_MATCH
Ramesh Agarwal,Ramesh Jain,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.64,0.6625,0.5,0.621,NO_MATCH
Amit Shukla,Amit Roy,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.5263,0.528,0.5,0.5217,NO_MATCH
Rakesh Qureshi,Rakesh Mukherjee,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.6667,0.6813,0.5,0.6392,NO_MATCH
Ramesh Singh,Ramesh Sarkar,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.64,0.751,0.5,0.6564,POSSIBLE_MATCH
Shashi Pandey,Shashi Garg,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.6667,0.6533,0.5,0.628,NO_MATCH
Rohit Ansari,Rohit Singhal,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.56,0.5624,0.5,0.549,NO_MATCH
Ramesh Verma,Ramesh Goyal,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.6667,0.739,0.5,0.6623,POSSIBLE_MATCH
Harish Tiwari,Harish Garg,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.75,0.6803,0.5,0.6721,POSSIBLE_MATCH
Gaurav Kumar,Gaurav Kumar,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,1.0,1.0,0.5,0.9,MATCH
Rahul Das,Rahul Yadav,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.8,0.6947,0.5,0.6979,POSSIBLE_MATCH
Gaurav Tiwari,Gaurav Yadav,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.64,0.6774,0.5,0.627,NO_MATCH
