pair_id,source_entity_id,target_entity_id,relationship_type,case_id,evidence_reference,expected_relationship,scenario
ROB-PAIR-0011,PERSON-0571,PERSON-0225,TRANSFERRED_TO,CASE-0665,PERSON-0571 contacted PERSON-0225 repeatedly under CASE-0665.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0012,PERSON-0411,PERSON-0275,TRANSFERRED_TO,CASE-0136,PERSON-0411 contacted PERSON-0275 repeatedly under CASE-0136.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0013,PERSON-0218,PERSON-0672,CONTACTED,CASE-1023,PERSON-0218 contacted PERSON-0672 repeatedly under CASE-1023.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0014,PERSON-0143,PERSON-0253,CONTACTED,CASE-1150,PERSON-0143 contacted PERSON-0253 repeatedly under CASE-1150.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0015,PERSON-0142,PERSON-0522,CONTACTED,CASE-1011,PERSON-0142 contacted PERSON-0522 repeatedly under CASE-1011.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0016,PERSON-0164,PERSON-0812,CONTACTED,CASE-0865,PERSON-0164 contacted PERSON-0812 repeatedly under CASE-0865.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0017,PERSON-0258,PERSON-0995,CONTACTED,CASE-1134,PERSON-0258 contacted PERSON-0995 repeatedly under CASE-1134.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0018,PERSON-0907,PERSON-0550,CONTACTED,CASE-0547,PERSON-0907 contacted PERSON-0550 repeatedly under CASE-0547.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0019,PERSON-0977,PERSON-0740,CONTACTED,CASE-0540,PERSON-0977 contacted PERSON-0740 repeatedly under CASE-0540.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0020,PERSON-0641,PERSON-0306,CONTACTED,CASE-1040,PERSON-0641 contacted PERSON-0306 repeatedly under CASE-1040.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0021,PERSON-0798,PERSON-0945,CONTACTED,CASE-1087,PERSON-0798 contacted PERSON-0945 repeatedly under CASE-1087.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0022,PERSON-0852,PERSON-0827,CONTACTED,CASE-0630,PERSON-0852 contacted PERSON-0827 repeatedly under CASE-0630.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0023,PERSON-0498,PERSON-0836,CONTACTED,CASE-0142,PERSON-0498 contacted PERSON-0836 repeatedly under CASE-0142.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0024,PERSON-0272,PERSON-0541,TRANSFERRED_TO,CASE-1243,PERSON-0272 contacted PERSON-0541 repeatedly under CASE-1243.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0025,PERSON-0707,PERSON-0206,CONTACTED,CASE-0639,PERSON-0707 contacted PERSON-0206 repeatedly under CASE-0639.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0026,PERSON-0530,PERSON-0463,CONTACTED,CASE-0248,PERSON-0530 contacted PERSON-0463 repeatedly under CASE-0248.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0027,PERSON-0008,PERSON-0073,CONTACTED,CASE-0121,PERSON-0008 contacted PERSON-0073 repeatedly under CASE-0121.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0028,PERSON-0244,PERSON-0286,CONTACTED,CASE-0995,PERSON-0244 contacted PERSON-0286 repeatedly under CASE-0995.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0029,PERSON-0485,PERSON-0827,TRANSFERRED_TO,CASE-0834,PERSON-0485 contacted PERSON-0827 repeatedly under CASE-0834.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0030,PERSON-0056,PERSON-0690,CONTACTED,CASE-0202,PERSON-0056 contacted PERSON-0690 repeatedly under CASE-0202.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0031,PERSON-0197,PERSON-0195,TRANSFERRED_TO,CASE-1099,PERSON-0197 contacted PERSON-0195 repeatedly under CASE-1099.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0032,PERSON-0454,PERSON-0828,TRANSFERRED_TO,CASE-1128,PERSON-0454 contacted PERSON-0828 repeatedly under CASE-1128.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0033,PERSON-0949,PERSON-0772,CONTACTED,CASE-0485,PERSON-0949 contacted PERSON-0772 repeatedly under CASE-0485.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0034,PERSON-0389,PERSON-0003,CONTACTED,CASE-0800,PERSON-0389 contacted PERSON-0003 repeatedly under CASE-0800.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0035,PERSON-0714,PERSON-0981,TRANSFERRED_TO,CASE-1139,PERSON-0714 contacted PERSON-0981 repeatedly under CASE-1139.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0036,PERSON-0594,PERSON-0754,CONTACTED,CASE-1111,PERSON-0594 contacted PERSON-0754 repeatedly under CASE-1111.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0037,PERSON-0874,PERSON-0544,CONTACTED,CASE-0323,PERSON-0874 contacted PERSON-0544 repeatedly under CASE-0323.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0038,PERSON-0692,PERSON-0883,CONTACTED,CASE-0482,PERSON-0692 contacted PERSON-0883 repeatedly under CASE-0482.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0039,PERSON-0430,PERSON-0674,CONTACTED,CASE-1196,PERSON-0430 contacted PERSON-0674 repeatedly under CASE-1196.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0040,PERSON-0406,PERSON-0135,CONTACTED,CASE-0615,PERSON-0406 contacted PERSON-0135 repeatedly under CASE-0615.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0041,PERSON-0103,PERSON-0076,TRANSFERRED_TO,CASE-1102,PERSON-0103 contacted PERSON-0076 repeatedly under CASE-1102.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0042,PERSON-0901,PERSON-0251,CONTACTED,CASE-0757,PERSON-0901 contacted PERSON-0251 repeatedly under CASE-0757.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0043,PERSON-0827,PERSON-0670,TRANSFERRED_TO,CASE-1084,PERSON-0827 contacted PERSON-0670 repeatedly under CASE-1084.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0044,PERSON-0107,PERSON-0962,CONTACTED,CASE-0276,PERSON-0107 contacted PERSON-0962 repeatedly under CASE-0276.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0045,PERSON-0289,PERSON-0620,CONTACTED,CASE-0432,PERSON-0289 contacted PERSON-0620 repeatedly under CASE-0432.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0046,PERSON-0930,PERSON-0867,CONTACTED,CASE-0105,PERSON-0930 contacted PERSON-0867 repeatedly under CASE-0105.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0047,PERSON-0342,PERSON-0790,TRANSFERRED_TO,CASE-0268,PERSON-0342 contacted PERSON-0790 repeatedly under CASE-0268.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0048,PERSON-0575,PERSON-0010,CONTACTED,CASE-0230,PERSON-0575 contacted PERSON-0010 repeatedly under CASE-0230.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0049,PERSON-0037,PERSON-0855,TRANSFERRED_TO,CASE-0757,PERSON-0037 contacted PERSON-0855 repeatedly under CASE-0757.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0050,PERSON-0816,PERSON-0996,CONTACTED,CASE-0082,PERSON-0816 contacted PERSON-0996 repeatedly under CASE-0082.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0051,PERSON-0574,PERSON-0906,CONTACTED,CASE-0833,PERSON-0574 contacted PERSON-0906 repeatedly under CASE-0833.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0052,PERSON-0167,PERSON-1000,CONTACTED,CASE-0363,PERSON-0167 contacted PERSON-1000 repeatedly under CASE-0363.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0053,PERSON-0954,PERSON-0422,CONTACTED,CASE-0509,PERSON-0954 contacted PERSON-0422 repeatedly under CASE-0509.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0054,PERSON-0205,PERSON-0837,CONTACTED,CASE-0943,PERSON-0205 contacted PERSON-0837 repeatedly under CASE-0943.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0055,PERSON-0286,PERSON-0886,CONTACTED,CASE-0143,PERSON-0286 contacted PERSON-0886 repeatedly under CASE-0143.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0056,PERSON-0962,PERSON-0029,CONTACTED,CASE-0237,PERSON-0962 contacted PERSON-0029 repeatedly under CASE-0237.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0057,PERSON-0112,PERSON-0611,CONTACTED,CASE-0890,PERSON-0112 contacted PERSON-0611 repeatedly under CASE-0890.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0058,PERSON-0395,PERSON-0922,CONTACTED,CASE-1181,PERSON-0395 contacted PERSON-0922 repeatedly under CASE-1181.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0059,PERSON-0737,PERSON-0963,CONTACTED,CASE-0404,PERSON-0737 contacted PERSON-0963 repeatedly under CASE-0404.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0060,PERSON-0128,PERSON-0738,CONTACTED,CASE-0616,PERSON-0128 contacted PERSON-0738 repeatedly under CASE-0616.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0061,PERSON-0197,PERSON-0431,CONTACTED,CASE-0777,PERSON-0197 contacted PERSON-0431 repeatedly under CASE-0777.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0062,PERSON-0854,PERSON-0001,CONTACTED,CASE-0623,PERSON-0854 contacted PERSON-0001 repeatedly under CASE-0623.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0063,PERSON-0453,PERSON-0692,CONTACTED,CASE-0438,PERSON-0453 contacted PERSON-0692 repeatedly under CASE-0438.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0064,PERSON-0680,PERSON-0649,CONTACTED,CASE-0687,PERSON-0680 contacted PERSON-0649 repeatedly under CASE-0687.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0065,PERSON-0231,PERSON-0826,CONTACTED,CASE-0408,PERSON-0231 contacted PERSON-0826 repeatedly under CASE-0408.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0066,PERSON-0787,PERSON-0075,TRANSFERRED_TO,CASE-0933,PERSON-0787 contacted PERSON-0075 repeatedly under CASE-0933.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0067,PERSON-0394,PERSON-0507,TRANSFERRED_TO,CASE-0819,PERSON-0394 contacted PERSON-0507 repeatedly under CASE-0819.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0068,PERSON-0907,PERSON-0110,TRANSFERRED_TO,CASE-0871,PERSON-0907 contacted PERSON-0110 repeatedly under CASE-0871.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0069,PERSON-0125,PERSON-0468,CONTACTED,CASE-0274,PERSON-0125 contacted PERSON-0468 repeatedly under CASE-0274.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0070,PERSON-0973,PERSON-0774,CONTACTED,CASE-0907,PERSON-0973 contacted PERSON-0774 repeatedly under CASE-0907.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0071,PERSON-0929,PERSON-0562,TRANSFERRED_TO,CASE-0914,PERSON-0929 contacted PERSON-0562 repeatedly under CASE-0914.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0072,PERSON-0284,PERSON-0785,CONTACTED,CASE-1068,PERSON-0284 contacted PERSON-0785 repeatedly under CASE-1068.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0073,PERSON-0279,PERSON-0344,CONTACTED,CASE-0655,PERSON-0279 contacted PERSON-0344 repeatedly under CASE-0655.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0074,PERSON-0220,PERSON-0066,CONTACTED,CASE-0850,PERSON-0220 contacted PERSON-0066 repeatedly under CASE-0850.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0075,PERSON-0927,PERSON-0789,CONTACTED,CASE-1197,PERSON-0927 contacted PERSON-0789 repeatedly under CASE-1197.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0076,PERSON-0772,PERSON-0400,CONTACTED,CASE-0859,PERSON-0772 contacted PERSON-0400 repeatedly under CASE-0859.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0077,PERSON-0226,PERSON-0500,TRANSFERRED_TO,CASE-0450,PERSON-0226 contacted PERSON-0500 repeatedly under CASE-0450.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0078,PERSON-0742,PERSON-0170,CONTACTED,CASE-0958,PERSON-0742 contacted PERSON-0170 repeatedly under CASE-0958.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0079,PERSON-0028,PERSON-0086,CONTACTED,CASE-0878,PERSON-0028 contacted PERSON-0086 repeatedly under CASE-0878.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0080,PERSON-0466,PERSON-0335,CONTACTED,CASE-0692,PERSON-0466 contacted PERSON-0335 repeatedly under CASE-0692.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0081,PERSON-0855,PERSON-0084,CONTACTED,CASE-0964,PERSON-0855 contacted PERSON-0084 repeatedly under CASE-0964.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0082,PERSON-0071,PERSON-0800,CONTACTED,CASE-0083,PERSON-0071 contacted PERSON-0800 repeatedly under CASE-0083.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0083,PERSON-0130,PERSON-0485,CONTACTED,CASE-0235,PERSON-0130 contacted PERSON-0485 repeatedly under CASE-0235.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0084,PERSON-0621,PERSON-0622,CONTACTED,CASE-0235,PERSON-0621 contacted PERSON-0622 repeatedly under CASE-0235.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0085,PERSON-0027,PERSON-0952,CONTACTED,CASE-0639,PERSON-0027 contacted PERSON-0952 repeatedly under CASE-0639.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0086,PERSON-0733,PERSON-0204,CONTACTED,CASE-0156,PERSON-0733 contacted PERSON-0204 repeatedly under CASE-0156.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0087,PERSON-0792,PERSON-0309,CONTACTED,CASE-1230,PERSON-0792 contacted PERSON-0309 repeatedly under CASE-1230.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0088,PERSON-0439,PERSON-0678,CONTACTED,CASE-0759,PERSON-0439 contacted PERSON-0678 repeatedly under CASE-0759.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0089,PERSON-0444,PERSON-0984,CONTACTED,CASE-0742,PERSON-0444 contacted PERSON-0984 repeatedly under CASE-0742.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0090,PERSON-0535,PERSON-0989,CONTACTED,CASE-0554,PERSON-0535 contacted PERSON-0989 repeatedly under CASE-0554.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0091,PERSON-0447,PERSON-0846,CONTACTED,CASE-1214,PERSON-0447 contacted PERSON-0846 repeatedly under CASE-1214.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0092,PERSON-0903,PERSON-0462,CONTACTED,CASE-0500,PERSON-0903 contacted PERSON-0462 repeatedly under CASE-0500.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0093,PERSON-0500,PERSON-0218,TRANSFERRED_TO,CASE-0727,PERSON-0500 contacted PERSON-0218 repeatedly under CASE-0727.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0094,PERSON-0283,PERSON-0570,CONTACTED,CASE-0021,PERSON-0283 contacted PERSON-0570 repeatedly under CASE-0021.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0095,PERSON-0777,PERSON-0247,CONTACTED,CASE-0976,PERSON-0777 contacted PERSON-0247 repeatedly under CASE-0976.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0096,PERSON-0415,PERSON-0709,CONTACTED,CASE-0499,PERSON-0415 contacted PERSON-0709 repeatedly under CASE-0499.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0097,PERSON-0764,PERSON-0564,CONTACTED,CASE-0678,PERSON-0764 contacted PERSON-0564 repeatedly under CASE-0678.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0098,PERSON-0198,PERSON-0324,CONTACTED,CASE-0245,PERSON-0198 contacted PERSON-0324 repeatedly under CASE-0245.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0099,PERSON-0604,PERSON-0779,CONTACTED,CASE-1075,PERSON-0604 contacted PERSON-0779 repeatedly under CASE-1075.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0100,PERSON-0370,PERSON-0184,CONTACTED,CASE-0620,PERSON-0370 contacted PERSON-0184 repeatedly under CASE-0620.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0101,PERSON-0300,PERSON-0715,CONTACTED,CASE-0259,PERSON-0300 contacted PERSON-0715 repeatedly under CASE-0259.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0102,PERSON-0481,PERSON-0491,CONTACTED,CASE-0903,PERSON-0481 contacted PERSON-0491 repeatedly under CASE-0903.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0103,PERSON-0067,PERSON-0411,TRANSFERRED_TO,CASE-1008,PERSON-0067 contacted PERSON-0411 repeatedly under CASE-1008.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0104,PERSON-0088,PERSON-0255,TRANSFERRED_TO,CASE-0243,PERSON-0088 contacted PERSON-0255 repeatedly under CASE-0243.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0105,PERSON-0232,PERSON-0795,CONTACTED,CASE-1071,PERSON-0232 contacted PERSON-0795 repeatedly under CASE-1071.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0106,PERSON-0583,PERSON-0636,CONTACTED,CASE-0124,PERSON-0583 contacted PERSON-0636 repeatedly under CASE-0124.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0107,PERSON-0271,PERSON-0677,CONTACTED,CASE-0167,PERSON-0271 contacted PERSON-0677 repeatedly under CASE-0167.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0108,PERSON-0609,PERSON-0482,CONTACTED,CASE-0597,PERSON-0609 contacted PERSON-0482 repeatedly under CASE-0597.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0109,PERSON-0704,PERSON-0240,TRANSFERRED_TO,CASE-0542,PERSON-0704 contacted PERSON-0240 repeatedly under CASE-0542.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0110,PERSON-0203,PERSON-0436,TRANSFERRED_TO,CASE-0236,PERSON-0203 contacted PERSON-0436 repeatedly under CASE-0236.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0111,PERSON-0074,PERSON-0062,CONTACTED,CASE-0340,PERSON-0074 contacted PERSON-0062 repeatedly under CASE-0340.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0112,PERSON-0480,PERSON-0706,CONTACTED,CASE-0623,PERSON-0480 contacted PERSON-0706 repeatedly under CASE-0623.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0113,PERSON-0083,PERSON-0613,CONTACTED,CASE-0082,PERSON-0083 contacted PERSON-0613 repeatedly under CASE-0082.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0114,PERSON-0235,PERSON-0985,CONTACTED,CASE-1179,PERSON-0235 contacted PERSON-0985 repeatedly under CASE-1179.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0115,PERSON-0276,PERSON-0591,TRANSFERRED_TO,CASE-0083,PERSON-0276 contacted PERSON-0591 repeatedly under CASE-0083.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0116,PERSON-0186,PERSON-0600,CONTACTED,CASE-0893,PERSON-0186 contacted PERSON-0600 repeatedly under CASE-0893.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0117,PERSON-0419,PERSON-0342,CONTACTED,CASE-0658,PERSON-0419 contacted PERSON-0342 repeatedly under CASE-0658.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0118,PERSON-0968,PERSON-0411,TRANSFERRED_TO,CASE-1127,PERSON-0968 contacted PERSON-0411 repeatedly under CASE-1127.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0119,PERSON-0886,PERSON-0527,CONTACTED,CASE-0003,PERSON-0886 contacted PERSON-0527 repeatedly under CASE-0003.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0120,PERSON-0638,PERSON-0775,TRANSFERRED_TO,CASE-1021,PERSON-0638 contacted PERSON-0775 repeatedly under CASE-1021.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0121,PERSON-0449,PERSON-0902,TRANSFERRED_TO,CASE-0993,PERSON-0449 contacted PERSON-0902 repeatedly under CASE-0993.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0122,PERSON-0319,PERSON-0565,TRANSFERRED_TO,CASE-0029,PERSON-0319 contacted PERSON-0565 repeatedly under CASE-0029.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0123,PERSON-0473,PERSON-0970,CONTACTED,CASE-0241,PERSON-0473 contacted PERSON-0970 repeatedly under CASE-0241.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0124,PERSON-0280,PERSON-0426,CONTACTED,CASE-0989,PERSON-0280 contacted PERSON-0426 repeatedly under CASE-0989.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0125,PERSON-0765,PERSON-0901,CONTACTED,CASE-0280,PERSON-0765 contacted PERSON-0901 repeatedly under CASE-0280.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0126,PERSON-0003,PERSON-0290,CONTACTED,CASE-0612,PERSON-0003 contacted PERSON-0290 repeatedly under CASE-0612.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0127,PERSON-0496,PERSON-0354,TRANSFERRED_TO,CASE-0681,PERSON-0496 contacted PERSON-0354 repeatedly under CASE-0681.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0128,PERSON-0715,PERSON-0245,TRANSFERRED_TO,CASE-1172,PERSON-0715 contacted PERSON-0245 repeatedly under CASE-1172.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0129,PERSON-0831,PERSON-0391,CONTACTED,CASE-0791,PERSON-0831 contacted PERSON-0391 repeatedly under CASE-0791.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0130,PERSON-0988,PERSON-0038,TRANSFERRED_TO,CASE-0259,PERSON-0988 contacted PERSON-0038 repeatedly under CASE-0259.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0131,PERSON-0103,PERSON-0539,CONTACTED,CASE-0936,PERSON-0103 contacted PERSON-0539 repeatedly under CASE-0936.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0132,PERSON-0481,PERSON-0801,CONTACTED,CASE-0543,PERSON-0481 contacted PERSON-0801 repeatedly under CASE-0543.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0133,PERSON-0691,PERSON-0880,TRANSFERRED_TO,CASE-1093,PERSON-0691 contacted PERSON-0880 repeatedly under CASE-1093.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0134,PERSON-0500,PERSON-0894,CONTACTED,CASE-1109,PERSON-0500 contacted PERSON-0894 repeatedly under CASE-1109.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0135,PERSON-0233,PERSON-0765,TRANSFERRED_TO,CASE-0186,PERSON-0233 contacted PERSON-0765 repeatedly under CASE-0186.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0136,PERSON-0103,PERSON-0455,CONTACTED,CASE-0341,PERSON-0103 contacted PERSON-0455 repeatedly under CASE-0341.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0137,PERSON-0384,PERSON-0442,CONTACTED,CASE-0299,PERSON-0384 contacted PERSON-0442 repeatedly under CASE-0299.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0138,PERSON-0180,PERSON-0081,CONTACTED,CASE-1249,PERSON-0180 contacted PERSON-0081 repeatedly under CASE-1249.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0139,PERSON-0654,PERSON-0261,CONTACTED,CASE-0942,PERSON-0654 contacted PERSON-0261 repeatedly under CASE-0942.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0140,PERSON-0295,PERSON-0694,CONTACTED,CASE-1120,PERSON-0295 contacted PERSON-0694 repeatedly under CASE-1120.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0141,PERSON-0986,PERSON-0435,CONTACTED,CASE-0513,PERSON-0986 contacted PERSON-0435 repeatedly under CASE-0513.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0142,PERSON-0243,PERSON-0391,CONTACTED,CASE-1172,PERSON-0243 contacted PERSON-0391 repeatedly under CASE-1172.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0143,PERSON-0009,PERSON-0580,CONTACTED,CASE-0101,PERSON-0009 contacted PERSON-0580 repeatedly under CASE-0101.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0144,PERSON-0819,PERSON-0236,CONTACTED,CASE-1244,PERSON-0819 contacted PERSON-0236 repeatedly under CASE-1244.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0145,PERSON-0739,PERSON-0786,CONTACTED,CASE-0281,PERSON-0739 contacted PERSON-0786 repeatedly under CASE-0281.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0146,PERSON-0750,PERSON-0135,CONTACTED,CASE-0185,PERSON-0750 contacted PERSON-0135 repeatedly under CASE-0185.,1,OPERATIONAL_POSITIVE
ROB-PAIR-0147,PERSON-0995,PERSON-0375,CONTACTED,CASE-1088,PERSON-0995 contacted PERSON-0375 repeatedly under CASE-1088.,1,OPERATIONAL_POSITIVE
