cp_id,case_id,person_id,role
ADV-CP-0044,CASE-0007,PERSON-0465,SUSPECT
ADV-CP-0045,CASE-0366,PERSON-0996,SUSPECT
ADV-CP-0046,CASE-0366,PERSON-0513,SUSPECT
ADV-CP-0047,CASE-1040,PERSON-0306,SUSPECT
ADV-CP-0048,CASE-1040,PERSON-0862,SUSPECT
ADV-CP-0049,CASE-1087,PERSON-0553,SUSPECT
ADV-CP-0050,CASE-1087,PERSON-0977,SUSPECT
ADV-CP-0051,CASE-0744,PERSON-0115,SUSPECT
ADV-CP-0052,CASE-0744,PERSON-0952,SUSPECT
ADV-CP-0053,CASE-0494,PERSON-0246,SUSPECT
ADV-CP-0054,CASE-0494,PERSON-0060,SUSPECT
ADV-CP-0055,CASE-0142,PERSON-0498,SUSPECT
ADV-CP-0056,CASE-0142,PERSON-0836,SUSPECT
ADV-CP-0057,CASE-0974,PERSON-0132,SUSPECT
ADV-CP-0058,CASE-0974,PERSON-0676,SUSPECT
ADV-CP-0059,CASE-0434,PERSON-0622,SUSPECT
ADV-CP-0060,CASE-0434,PERSON-0434,SUSPECT
ADV-CP-0061,CASE-0765,PERSON-0409,SUSPECT
ADV-CP-0062,CASE-0765,PERSON-0688,SUSPECT
ADV-CP-0063,CASE-0132,PERSON-0254,SUSPECT
ADV-CP-0064,CASE-0132,PERSON-0231,SUSPECT
ADV-CP-0065,CASE-0121,PERSON-0008,SUSPECT
ADV-CP-0066,CASE-0121,PERSON-0073,SUSPECT
ADV-CP-0067,CASE-0488,PERSON-0073,SUSPECT
ADV-CP-0068,CASE-0488,PERSON-0527,SUSPECT
ADV-CP-0069,CASE-1170,PERSON-0741,SUSPECT
ADV-CP-0070,CASE-1170,PERSON-0958,SUSPECT
ADV-CP-0071,CASE-0199,PERSON-0195,SUSPECT
ADV-CP-0072,CASE-0199,PERSON-0097,SUSPECT
ADV-CP-0073,CASE-0111,PERSON-0885,SUSPECT
ADV-CP-0074,CASE-0111,PERSON-0747,SUSPECT
ADV-CP-0075,CASE-0224,PERSON-0746,SUSPECT
ADV-CP-0076,CASE-0224,PERSON-0348,SUSPECT
ADV-CP-0077,CASE-0571,PERSON-0433,SUSPECT
ADV-CP-0078,CASE-0571,PERSON-0188,SUSPECT
ADV-CP-0079,CASE-1128,PERSON-0883,SUSPECT
ADV-CP-0080,CASE-1128,PERSON-0877,SUSPECT
ADV-CP-0081,CASE-0485,PERSON-0993,SUSPECT
ADV-CP-0082,CASE-0485,PERSON-0096,SUSPECT
ADV-CP-0083,CASE-0121,PERSON-0411,SUSPECT
ADV-CP-0084,CASE-0121,PERSON-0925,SUSPECT
ADV-CP-0085,CASE-0932,PERSON-0803,SUSPECT
ADV-CP-0086,CASE-0932,PERSON-0804,SUSPECT
ADV-CP-0087,CASE-0120,PERSON-0304,SUSPECT
ADV-CP-0088,CASE-0120,PERSON-0223,SUSPECT
ADV-CP-0089,CASE-0103,PERSON-0322,SUSPECT
ADV-CP-0090,CASE-0103,PERSON-0059,SUSPECT
ADV-CP-0091,CASE-0165,PERSON-0984,SUSPECT
ADV-CP-0092,CASE-0165,PERSON-0521,SUSPECT
ADV-CP-0093,CASE-0246,PERSON-0241,SUSPECT
ADV-CP-0094,CASE-0246,PERSON-0414,SUSPECT
ADV-CP-0095,CASE-0168,PERSON-0609,SUSPECT
ADV-CP-0096,CASE-0168,PERSON-0041,SUSPECT
ADV-CP-0097,CASE-0644,PERSON-0268,SUSPECT
ADV-CP-0098,CASE-0644,PERSON-0210,SUSPECT
ADV-CP-0099,CASE-0648,PERSON-0308,SUSPECT
ADV-CP-0100,CASE-0648,PERSON-0469,SUSPECT
ADV-CP-0101,CASE-1154,PERSON-0470,SUSPECT
ADV-CP-0102,CASE-1154,PERSON-0637,SUSPECT
ADV-CP-0103,CASE-0715,PERSON-0136,SUSPECT
ADV-CP-0104,CASE-0715,PERSON-0956,SUSPECT
ADV-CP-0105,CASE-1113,PERSON-0162,SUSPECT
ADV-CP-0106,CASE-1113,PERSON-0449,SUSPECT
ADV-CP-0107,CASE-0614,PERSON-0837,SUSPECT
ADV-CP-0108,CASE-0614,PERSON-0568,SUSPECT
ADV-CP-0109,CASE-1134,PERSON-0912,SUSPECT
ADV-CP-0110,CASE-1134,PERSON-0110,SUSPECT
ADV-CP-0111,CASE-0541,PERSON-0209,SUSPECT
ADV-CP-0112,CASE-0541,PERSON-0704,SUSPECT
ADV-CP-0113,CASE-0567,PERSON-0434,SUSPECT
ADV-CP-0114,CASE-0567,PERSON-0850,SUSPECT
ADV-CP-0115,CASE-0905,PERSON-0269,SUSPECT
ADV-CP-0116,CASE-0905,PERSON-0166,SUSPECT
ADV-CP-0117,CASE-0306,PERSON-0115,SUSPECT
ADV-CP-0118,CASE-0306,PERSON-0078,SUSPECT
ADV-CP-0119,CASE-0262,PERSON-0152,SUSPECT
ADV-CP-0120,CASE-0262,PERSON-0441,SUSPECT
ADV-CP-0121,CASE-0512,PERSON-0216,SUSPECT
ADV-CP-0122,CASE-0512,PERSON-0699,SUSPECT
ADV-CP-0123,CASE-0485,PERSON-0768,SUSPECT
ADV-CP-0124,CASE-0485,PERSON-0159,SUSPECT
ADV-CP-0125,CASE-0681,PERSON-0026,SUSPECT
ADV-CP-0126,CASE-0681,PERSON-0184,SUSPECT
ADV-CP-0127,CASE-0509,PERSON-0885,SUSPECT
ADV-CP-0128,CASE-0509,PERSON-0753,SUSPECT
ADV-CP-0129,CASE-0964,PERSON-0040,SUSPECT
ADV-CP-0130,CASE-0964,PERSON-0880,SUSPECT
ADV-CP-0131,CASE-0467,PERSON-0841,SUSPECT
ADV-CP-0132,CASE-0467,PERSON-0815,SUSPECT
ADV-CP-0133,CASE-0143,PERSON-0286,SUSPECT
ADV-CP-0134,CASE-0143,PERSON-0886,SUSPECT
ADV-CP-0135,CASE-1099,PERSON-0522,SUSPECT
ADV-CP-0136,CASE-1099,PERSON-0410,SUSPECT
ADV-CP-0137,CASE-0366,PERSON-0994,SUSPECT
ADV-CP-0138,CASE-0366,PERSON-0268,SUSPECT
ADV-CP-0139,CASE-0890,PERSON-0112,SUSPECT
ADV-CP-0140,CASE-0890,PERSON-0611,SUSPECT
ADV-CP-0141,CASE-0237,PERSON-0621,SUSPECT
ADV-CP-0142,CASE-0237,PERSON-0524,SUSPECT
ADV-CP-0143,CASE-0894,PERSON-0046,SUSPECT
ADV-CP-0144,CASE-0894,PERSON-0726,SUSPECT
ADV-CP-0145,CASE-0404,PERSON-0963,SUSPECT
ADV-CP-0146,CASE-0404,PERSON-0760,SUSPECT
ADV-CP-0147,CASE-0256,PERSON-0680,SUSPECT
ADV-CP-0148,CASE-0256,PERSON-0869,SUSPECT
ADV-CP-0149,CASE-0669,PERSON-0683,SUSPECT
ADV-CP-0150,CASE-0669,PERSON-0419,SUSPECT
ADV-CP-0151,CASE-0777,PERSON-0681,SUSPECT
ADV-CP-0152,CASE-0777,PERSON-0963,SUSPECT
ADV-CP-0153,CASE-0832,PERSON-0583,SUSPECT
ADV-CP-0154,CASE-0832,PERSON-0309,SUSPECT
ADV-CP-0155,CASE-1188,PERSON-0216,SUSPECT
ADV-CP-0156,CASE-1188,PERSON-0441,SUSPECT
ADV-CP-0157,CASE-1047,PERSON-0692,SUSPECT
ADV-CP-0158,CASE-1047,PERSON-0219,SUSPECT
ADV-CP-0159,CASE-0174,PERSON-0754,SUSPECT
ADV-CP-0160,CASE-0174,PERSON-0174,SUSPECT
ADV-CP-0161,CASE-0482,PERSON-0975,SUSPECT
ADV-CP-0162,CASE-0482,PERSON-0770,SUSPECT
ADV-CP-0163,CASE-0974,PERSON-0048,SUSPECT
ADV-CP-0164,CASE-0974,PERSON-0251,SUSPECT
ADV-CP-0165,CASE-1179,PERSON-0425,SUSPECT
ADV-CP-0166,CASE-1179,PERSON-0908,SUSPECT
ADV-CP-0167,CASE-0303,PERSON-0410,SUSPECT
ADV-CP-0168,CASE-0303,PERSON-0250,SUSPECT
ADV-CP-0169,CASE-1061,PERSON-0225,SUSPECT
ADV-CP-0170,CASE-1061,PERSON-0181,SUSPECT
ADV-CP-0171,CASE-0274,PERSON-0125,SUSPECT
ADV-CP-0172,CASE-0274,PERSON-0468,SUSPECT
ADV-CP-0173,CASE-0907,PERSON-0610,SUSPECT
ADV-CP-0174,CASE-0907,PERSON-0325,SUSPECT
ADV-CP-0175,CASE-1123,PERSON-0437,SUSPECT
ADV-CP-0176,CASE-1123,PERSON-0851,SUSPECT
ADV-CP-0177,CASE-0531,PERSON-0487,SUSPECT
ADV-CP-0178,CASE-0531,PERSON-0461,SUSPECT
ADV-CP-0179,CASE-0490,PERSON-0534,SUSPECT
ADV-CP-0180,CASE-0490,PERSON-0497,SUSPECT
ADV-CP-0181,CASE-1107,PERSON-0344,SUSPECT
ADV-CP-0182,CASE-1107,PERSON-0328,SUSPECT
ADV-CP-0183,CASE-0439,PERSON-0157,SUSPECT
ADV-CP-0184,CASE-0439,PERSON-0724,SUSPECT
ADV-CP-0185,CASE-0424,PERSON-0426,SUSPECT
ADV-CP-0186,CASE-0424,PERSON-0064,SUSPECT
ADV-CP-0187,CASE-0780,PERSON-0784,SUSPECT
ADV-CP-0188,CASE-0780,PERSON-0590,SUSPECT
ADV-CP-0189,CASE-0859,PERSON-0400,SUSPECT
ADV-CP-0190,CASE-0859,PERSON-0874,SUSPECT
ADV-CP-0191,CASE-0452,PERSON-0618,SUSPECT
ADV-CP-0192,CASE-0452,PERSON-0920,SUSPECT
ADV-CP-0193,CASE-0829,PERSON-0399,SUSPECT
ADV-CP-0194,CASE-0829,PERSON-0345,SUSPECT
ADV-CP-0195,CASE-0056,PERSON-0638,SUSPECT
ADV-CP-0196,CASE-0056,PERSON-0547,SUSPECT
ADV-CP-0197,CASE-0946,PERSON-0439,SUSPECT
ADV-CP-0198,CASE-0946,PERSON-0139,SUSPECT
ADV-CP-0199,CASE-0692,PERSON-0466,SUSPECT
ADV-CP-0200,CASE-0692,PERSON-0335,SUSPECT
ADV-CP-0201,CASE-0864,PERSON-0975,SUSPECT
ADV-CP-0202,CASE-0864,PERSON-0852,SUSPECT
ADV-CP-0203,CASE-0107,PERSON-0768,SUSPECT
ADV-CP-0204,CASE-0107,PERSON-0553,SUSPECT
ADV-CP-0205,CASE-0064,PERSON-0668,SUSPECT
ADV-CP-0206,CASE-0064,PERSON-0042,SUSPECT
ADV-CP-0207,CASE-0970,PERSON-0245,SUSPECT
ADV-CP-0208,CASE-0970,PERSON-0130,SUSPECT
ADV-CP-0209,CASE-0756,PERSON-0263,SUSPECT
ADV-CP-0210,CASE-0756,PERSON-0786,SUSPECT
ADV-CP-0211,CASE-0638,PERSON-0168,SUSPECT
ADV-CP-0212,CASE-0638,PERSON-0988,SUSPECT
ADV-CP-0213,CASE-0769,PERSON-0930,SUSPECT
ADV-CP-0214,CASE-0769,PERSON-0982,SUSPECT
ADV-CP-0215,CASE-0498,PERSON-0607,SUSPECT
ADV-CP-0216,CASE-0498,PERSON-0708,SUSPECT
ADV-CP-0217,CASE-0248,PERSON-0615,SUSPECT
ADV-CP-0218,CASE-0248,PERSON-0825,SUSPECT
ADV-CP-0219,CASE-0878,PERSON-0356,SUSPECT
ADV-CP-0220,CASE-0878,PERSON-0546,SUSPECT
ADV-CP-0221,CASE-0861,PERSON-0013,SUSPECT
ADV-CP-0222,CASE-0861,PERSON-0870,SUSPECT
ADV-CP-0223,CASE-0942,PERSON-0651,SUSPECT
ADV-CP-0224,CASE-0942,PERSON-0913,SUSPECT
ADV-CP-0225,CASE-0554,PERSON-0989,SUSPECT
ADV-CP-0226,CASE-0554,PERSON-0667,SUSPECT
ADV-CP-0227,CASE-0893,PERSON-0496,SUSPECT
ADV-CP-0228,CASE-0893,PERSON-0477,SUSPECT
ADV-CP-0229,CASE-0178,PERSON-0873,SUSPECT
ADV-CP-0230,CASE-0178,PERSON-0252,SUSPECT
ADV-CP-0231,CASE-1250,PERSON-0476,SUSPECT
ADV-CP-0232,CASE-1250,PERSON-0584,SUSPECT
ADV-CP-0233,CASE-0999,PERSON-0333,SUSPECT
ADV-CP-0234,CASE-0999,PERSON-0187,SUSPECT
ADV-CP-0235,CASE-0566,PERSON-0902,SUSPECT
ADV-CP-0236,CASE-0566,PERSON-0611,SUSPECT
ADV-CP-0237,CASE-1001,PERSON-0738,SUSPECT
ADV-CP-0238,CASE-1001,PERSON-0417,SUSPECT
ADV-CP-0239,CASE-1006,PERSON-0662,SUSPECT
ADV-CP-0240,CASE-1006,PERSON-0729,SUSPECT
ADV-CP-0241,CASE-0499,PERSON-0227,SUSPECT
ADV-CP-0242,CASE-0499,PERSON-0415,SUSPECT
ADV-CP-0243,CASE-0872,PERSON-0544,SUSPECT
ADV-CP-0244,CASE-0872,PERSON-0353,SUSPECT
ADV-CP-0245,CASE-0515,PERSON-0278,SUSPECT
ADV-CP-0246,CASE-0515,PERSON-0314,SUSPECT
ADV-CP-0247,CASE-0380,PERSON-0761,SUSPECT
ADV-CP-0248,CASE-0380,PERSON-0549,SUSPECT
ADV-CP-0249,CASE-1075,PERSON-0604,SUSPECT
ADV-CP-0250,CASE-1075,PERSON-0779,SUSPECT
ADV-CP-0251,CASE-0740,PERSON-0304,SUSPECT
ADV-CP-0252,CASE-0740,PERSON-0233,SUSPECT
ADV-CP-0253,CASE-0112,PERSON-0047,SUSPECT
ADV-CP-0254,CASE-0112,PERSON-0998,SUSPECT
ADV-CP-0255,CASE-0211,PERSON-0771,SUSPECT
ADV-CP-0256,CASE-0211,PERSON-0503,SUSPECT
ADV-CP-0257,CASE-0378,PERSON-0452,SUSPECT
ADV-CP-0258,CASE-0378,PERSON-0349,SUSPECT
ADV-CP-0259,CASE-1008,PERSON-0067,SUSPECT
ADV-CP-0260,CASE-1008,PERSON-0411,SUSPECT
ADV-CP-0261,CASE-0623,PERSON-0831,SUSPECT
ADV-CP-0262,CASE-0623,PERSON-0577,SUSPECT
ADV-CP-0263,CASE-1242,PERSON-0783,SUSPECT
ADV-CP-0264,CASE-1242,PERSON-0427,SUSPECT
ADV-CP-0265,CASE-0923,PERSON-0536,SUSPECT
ADV-CP-0266,CASE-0923,PERSON-0390,SUSPECT
ADV-CP-0267,CASE-1249,PERSON-0636,SUSPECT
ADV-CP-0268,CASE-1249,PERSON-0062,SUSPECT
ADV-CP-0269,CASE-0433,PERSON-0213,SUSPECT
ADV-CP-0270,CASE-0433,PERSON-0641,SUSPECT
ADV-CP-0271,CASE-0321,PERSON-0566,SUSPECT
ADV-CP-0272,CASE-0321,PERSON-0077,SUSPECT
ADV-CP-0273,CASE-0580,PERSON-0238,SUSPECT
ADV-CP-0274,CASE-0580,PERSON-0296,SUSPECT
ADV-CP-0275,CASE-0542,PERSON-0240,SUSPECT
ADV-CP-0276,CASE-0542,PERSON-0947,SUSPECT
ADV-CP-0277,CASE-0406,PERSON-0824,SUSPECT
ADV-CP-0278,CASE-0406,PERSON-0957,SUSPECT
ADV-CP-0279,CASE-0292,PERSON-0931,SUSPECT
ADV-CP-0280,CASE-0292,PERSON-0273,SUSPECT
ADV-CP-0281,CASE-0592,PERSON-0845,SUSPECT
ADV-CP-0282,CASE-0592,PERSON-0583,SUSPECT
ADV-CP-0283,CASE-1025,PERSON-0966,SUSPECT
ADV-CP-0284,CASE-1025,PERSON-0279,SUSPECT
ADV-CP-0285,CASE-0661,PERSON-0911,SUSPECT
ADV-CP-0286,CASE-0661,PERSON-0443,SUSPECT
ADV-CP-0287,CASE-1179,PERSON-0691,SUSPECT
ADV-CP-0288,CASE-1179,PERSON-0857,SUSPECT
ADV-CP-0289,CASE-0552,PERSON-0689,SUSPECT
ADV-CP-0290,CASE-0552,PERSON-0842,SUSPECT
ADV-CP-0291,CASE-0570,PERSON-0668,SUSPECT
ADV-CP-0292,CASE-0570,PERSON-0453,SUSPECT
ADV-CP-0293,CASE-0187,PERSON-0834,SUSPECT
ADV-CP-0294,CASE-0187,PERSON-0504,SUSPECT
ADV-CP-0295,CASE-0330,PERSON-0108,SUSPECT
ADV-CP-0296,CASE-0330,PERSON-0879,SUSPECT
ADV-CP-0297,CASE-1127,PERSON-0968,SUSPECT
ADV-CP-0298,CASE-1127,PERSON-0411,SUSPECT
ADV-CP-0299,CASE-0828,PERSON-0119,SUSPECT
ADV-CP-0300,CASE-0828,PERSON-0994,SUSPECT
ADV-CP-0301,CASE-0847,PERSON-0556,SUSPECT
ADV-CP-0302,CASE-0847,PERSON-0474,SUSPECT
ADV-CP-0303,CASE-0906,PERSON-0511,SUSPECT
ADV-CP-0304,CASE-0906,PERSON-0641,SUSPECT
ADV-CP-0305,CASE-0898,PERSON-0950,SUSPECT
ADV-CP-0306,CASE-0898,PERSON-0295,SUSPECT
ADV-CP-0307,CASE-0491,PERSON-0646,SUSPECT
ADV-CP-0308,CASE-0491,PERSON-0624,SUSPECT
ADV-CP-0309,CASE-0233,PERSON-0096,SUSPECT
ADV-CP-0310,CASE-0233,PERSON-0231,SUSPECT
ADV-CP-0311,CASE-0598,PERSON-0158,SUSPECT
ADV-CP-0312,CASE-0598,PERSON-0511,SUSPECT
ADV-CP-0313,CASE-0500,PERSON-0495,SUSPECT
ADV-CP-0314,CASE-0500,PERSON-0484,SUSPECT
ADV-CP-0315,CASE-0280,PERSON-0614,SUSPECT
ADV-CP-0316,CASE-0280,PERSON-0521,SUSPECT
ADV-CP-0317,CASE-0548,PERSON-0807,SUSPECT
ADV-CP-0318,CASE-0548,PERSON-0520,SUSPECT
ADV-CP-0319,CASE-1003,PERSON-0594,SUSPECT
ADV-CP-0320,CASE-1003,PERSON-0676,SUSPECT
ADV-CP-0321,CASE-1113,PERSON-0341,SUSPECT
ADV-CP-0322,CASE-1113,PERSON-0566,SUSPECT
ADV-CP-0323,CASE-1172,PERSON-0715,SUSPECT
ADV-CP-0324,CASE-1172,PERSON-0245,SUSPECT
ADV-CP-0325,CASE-0781,PERSON-0763,SUSPECT
ADV-CP-0326,CASE-0781,PERSON-0485,SUSPECT
ADV-CP-0327,CASE-1015,PERSON-0668,SUSPECT
ADV-CP-0328,CASE-1015,PERSON-0156,SUSPECT
ADV-CP-0329,CASE-0206,PERSON-0340,SUSPECT
ADV-CP-0330,CASE-0206,PERSON-0891,SUSPECT
ADV-CP-0331,CASE-0032,PERSON-0933,SUSPECT
ADV-CP-0332,CASE-0032,PERSON-0468,SUSPECT
ADV-CP-0333,CASE-0543,PERSON-0801,SUSPECT
ADV-CP-0334,CASE-0543,PERSON-0993,SUSPECT
ADV-CP-0335,CASE-1093,PERSON-0873,SUSPECT
ADV-CP-0336,CASE-1093,PERSON-0337,SUSPECT
ADV-CP-0337,CASE-1000,PERSON-0909,SUSPECT
ADV-CP-0338,CASE-1000,PERSON-0778,SUSPECT
ADV-CP-0339,CASE-0589,PERSON-0701,SUSPECT
ADV-CP-0340,CASE-0589,PERSON-0944,SUSPECT
ADV-CP-0341,CASE-0206,PERSON-0101,SUSPECT
ADV-CP-0342,CASE-0206,PERSON-0779,SUSPECT
ADV-CP-0343,CASE-0115,PERSON-0048,SUSPECT
ADV-CP-0344,CASE-0115,PERSON-0333,SUSPECT
ADV-CP-0345,CASE-1160,PERSON-0544,SUSPECT
ADV-CP-0346,CASE-1160,PERSON-0422,SUSPECT
ADV-CP-0347,CASE-0784,PERSON-0081,SUSPECT
ADV-CP-0348,CASE-0784,PERSON-0625,SUSPECT
ADV-CP-0349,CASE-0945,PERSON-0147,SUSPECT
ADV-CP-0350,CASE-0945,PERSON-0238,SUSPECT
ADV-CP-0351,CASE-0953,PERSON-0921,SUSPECT
ADV-CP-0352,CASE-0953,PERSON-0824,SUSPECT
ADV-CP-0353,CASE-0708,PERSON-0453,SUSPECT
ADV-CP-0354,CASE-0708,PERSON-0968,SUSPECT
ADV-CP-0355,CASE-0619,PERSON-0468,SUSPECT
ADV-CP-0356,CASE-0619,PERSON-0866,SUSPECT
ADV-CP-0357,CASE-0782,PERSON-0110,SUSPECT
ADV-CP-0358,CASE-0782,PERSON-0243,SUSPECT
ADV-CP-0359,CASE-0811,PERSON-0303,SUSPECT
ADV-CP-0360,CASE-0811,PERSON-0023,SUSPECT
ADV-CP-0361,CASE-0587,PERSON-0764,SUSPECT
ADV-CP-0362,CASE-0587,PERSON-0509,SUSPECT
ADV-CP-0363,CASE-0390,PERSON-0361,SUSPECT
ADV-CP-0364,CASE-0390,PERSON-0225,SUSPECT
ADV-CP-0365,CASE-0081,PERSON-0926,SUSPECT
ADV-CP-0366,CASE-0081,PERSON-0643,SUSPECT
ADV-CP-0367,CASE-0270,PERSON-0374,SUSPECT
ADV-CP-0368,CASE-0270,PERSON-0750,SUSPECT
ADV-CP-0369,CASE-0412,PERSON-0426,SUSPECT
ADV-CP-0370,CASE-0412,PERSON-0180,SUSPECT
ADV-CP-0371,CASE-1028,PERSON-0375,SUSPECT
ADV-CP-0372,CASE-1028,PERSON-0544,SUSPECT
ADV-CP-0373,CASE-0987,PERSON-0845,SUSPECT
ADV-CP-0374,CASE-0987,PERSON-0967,SUSPECT
ADV-CP-0375,CASE-0236,PERSON-0347,SUSPECT
ADV-CP-0376,CASE-0236,PERSON-0824,SUSPECT
ADV-CP-0377,CASE-0814,PERSON-0990,SUSPECT
ADV-CP-0378,CASE-0814,PERSON-0232,SUSPECT
ADV-CP-0379,CASE-0809,PERSON-0093,SUSPECT
ADV-CP-0380,CASE-0809,PERSON-0810,SUSPECT
ADV-CP-0381,CASE-0537,PERSON-0689,SUSPECT
ADV-CP-0382,CASE-0537,PERSON-0767,SUSPECT
ADV-CP-0383,CASE-0052,PERSON-0240,SUSPECT
ADV-CP-0384,CASE-0052,PERSON-0483,SUSPECT
ADV-CP-0385,CASE-0454,PERSON-0938,SUSPECT
ADV-CP-0386,CASE-0454,PERSON-0625,SUSPECT
ADV-CP-0387,CASE-0837,PERSON-0310,SUSPECT
ADV-CP-0388,CASE-0837,PERSON-0665,SUSPECT
ADV-CP-0389,CASE-0200,PERSON-0505,SUSPECT
ADV-CP-0390,CASE-0200,PERSON-0119,SUSPECT
ADV-CP-0391,CASE-1107,PERSON-0465,SUSPECT
ADV-CP-0392,CASE-1107,PERSON-0380,SUSPECT
ADV-CP-0393,CASE-1003,PERSON-0671,SUSPECT
ADV-CP-0394,CASE-1003,PERSON-0102,SUSPECT
ADV-CP-0395,CASE-0909,PERSON-0380,SUSPECT
ADV-CP-0396,CASE-0909,PERSON-0223,SUSPECT
ADV-CP-0397,CASE-0753,PERSON-0102,SUSPECT
ADV-CP-0398,CASE-0753,PERSON-0703,SUSPECT
ADV-CP-0399,CASE-0566,PERSON-0063,SUSPECT
ADV-CP-0400,CASE-0566,PERSON-0408,SUSPECT
ADV-CP-0401,CASE-0188,PERSON-0844,SUSPECT
ADV-CP-0402,CASE-0188,PERSON-0466,SUSPECT
ADV-CP-0403,CASE-0258,PERSON-0342,SUSPECT
ADV-CP-0404,CASE-0258,PERSON-0250,SUSPECT
ADV-CP-0405,CASE-1201,PERSON-0568,SUSPECT
ADV-CP-0406,CASE-1201,PERSON-0213,SUSPECT
ADV-CP-0407,CASE-1221,PERSON-0793,SUSPECT
ADV-CP-0408,CASE-1221,PERSON-0152,SUSPECT
ADV-CP-0409,CASE-0358,PERSON-0554,SUSPECT
ADV-CP-0410,CASE-0358,PERSON-0257,SUSPECT
ADV-CP-0411,CASE-0488,PERSON-0367,SUSPECT
ADV-CP-0412,CASE-0488,PERSON-0809,SUSPECT
ADV-CP-0413,CASE-0863,PERSON-0130,SUSPECT
ADV-CP-0414,CASE-0863,PERSON-0760,SUSPECT
ADV-CP-0415,CASE-1052,PERSON-0797,SUSPECT
ADV-CP-0416,CASE-1052,PERSON-0371,SUSPECT
ADV-CP-0417,CASE-1068,PERSON-0630,SUSPECT
ADV-CP-0418,CASE-1068,PERSON-0045,SUSPECT
ADV-CP-0419,CASE-0823,PERSON-0491,SUSPECT
ADV-CP-0420,CASE-0823,PERSON-0868,SUSPECT
ADV-CP-0421,CASE-0166,PERSON-0455,SUSPECT
ADV-CP-0422,CASE-0166,PERSON-0076,SUSPECT
ADV-CP-0423,CASE-1199,PERSON-0640,SUSPECT
ADV-CP-0424,CASE-1199,PERSON-0649,SUSPECT
ADV-CP-0425,CASE-0604,PERSON-0612,SUSPECT
ADV-CP-0426,CASE-0604,PERSON-0544,SUSPECT
ADV-CP-0427,CASE-1130,PERSON-0719,SUSPECT
ADV-CP-0428,CASE-1130,PERSON-0118,SUSPECT
ADV-CP-0429,CASE-0848,PERSON-0910,SUSPECT
ADV-CP-0430,CASE-0848,PERSON-0234,SUSPECT
ADV-CP-0431,CASE-0641,PERSON-0748,SUSPECT
ADV-CP-0432,CASE-0641,PERSON-0098,SUSPECT
ADV-CP-0433,CASE-0972,PERSON-0157,SUSPECT
ADV-CP-0434,CASE-0972,PERSON-0704,SUSPECT
ADV-CP-0435,CASE-0764,PERSON-0099,SUSPECT
ADV-CP-0436,CASE-0764,PERSON-0763,SUSPECT
