comm_id,case_id,description,duration
ADV-COMM-0094,CASE-1113,PERSON-0162 contacted PERSON-0449 regarding operational logistics.,230
ADV-COMM-0095,CASE-1113,PERSON-0449 contacted PERSON-0162 confirming pickup.,175
ADV-COMM-0096,CASE-0614,PERSON-0837 contacted PERSON-0568 regarding operational logistics.,288
ADV-COMM-0097,CASE-0614,PERSON-0568 contacted PERSON-0837 confirming pickup.,74
ADV-COMM-0098,CASE-1134,PERSON-0912 contacted PERSON-0110 regarding operational logistics.,89
ADV-COMM-0099,CASE-1134,PERSON-0110 contacted PERSON-0912 confirming pickup.,93
ADV-COMM-0100,CASE-0541,PERSON-0209 contacted PERSON-0704 regarding operational logistics.,179
ADV-COMM-0101,CASE-0541,PERSON-0704 contacted PERSON-0209 confirming pickup.,53
ADV-COMM-0102,CASE-0567,PERSON-0434 contacted PERSON-0850 regarding operational logistics.,61
ADV-COMM-0103,CASE-0567,PERSON-0850 contacted PERSON-0434 confirming pickup.,73
ADV-COMM-0104,CASE-0905,PERSON-0269 contacted PERSON-0166 regarding operational logistics.,191
ADV-COMM-0105,CASE-0306,PERSON-0115 contacted PERSON-0078 regarding operational logistics.,189
ADV-COMM-0106,CASE-0306,PERSON-0078 contacted PERSON-0115 confirming pickup.,134
ADV-COMM-0107,CASE-0262,PERSON-0152 contacted PERSON-0441 regarding operational logistics.,60
ADV-COMM-0108,CASE-0262,PERSON-0441 contacted PERSON-0152 confirming pickup.,50
ADV-COMM-0109,CASE-0512,PERSON-0216 contacted PERSON-0699 regarding operational logistics.,220
ADV-COMM-0110,CASE-0512,PERSON-0699 contacted PERSON-0216 confirming pickup.,144
ADV-COMM-0111,CASE-0485,PERSON-0768 contacted PERSON-0159 regarding operational logistics.,271
ADV-COMM-0112,CASE-0485,PERSON-0159 contacted PERSON-0768 confirming pickup.,85
ADV-COMM-0113,CASE-0681,PERSON-0026 contacted PERSON-0184 regarding operational logistics.,250
ADV-COMM-0114,CASE-0509,PERSON-0885 contacted PERSON-0753 regarding operational logistics.,118
ADV-COMM-0115,CASE-0509,PERSON-0753 contacted PERSON-0885 confirming pickup.,67
ADV-COMM-0116,CASE-0964,PERSON-0040 contacted PERSON-0880 regarding operational logistics.,106
ADV-COMM-0117,CASE-0964,PERSON-0880 contacted PERSON-0040 confirming pickup.,157
ADV-COMM-0118,CASE-0467,PERSON-0841 contacted PERSON-0815 regarding operational logistics.,107
ADV-COMM-0119,CASE-0467,PERSON-0815 contacted PERSON-0841 confirming pickup.,89
ADV-COMM-0120,CASE-0143,PERSON-0286 contacted PERSON-0886 regarding operational logistics.,297
ADV-COMM-0121,CASE-1099,PERSON-0522 contacted PERSON-0410 regarding operational logistics.,134
ADV-COMM-0122,CASE-0366,PERSON-0994 contacted PERSON-0268 regarding operational logistics.,198
ADV-COMM-0123,CASE-0890,PERSON-0112 contacted PERSON-0611 regarding operational logistics.,138
ADV-COMM-0124,CASE-0237,PERSON-0621 contacted PERSON-0524 regarding operational logistics.,148
ADV-COMM-0125,CASE-0894,PERSON-0046 contacted PERSON-0726 regarding operational logistics.,50
ADV-COMM-0126,CASE-0894,PERSON-0726 contacted PERSON-0046 confirming pickup.,177
ADV-COMM-0127,CASE-0404,PERSON-0963 contacted PERSON-0760 regarding operational logistics.,143
ADV-COMM-0128,CASE-0404,PERSON-0760 contacted PERSON-0963 confirming pickup.,124
ADV-COMM-0129,CASE-0256,PERSON-0680 contacted PERSON-0869 regarding operational logistics.,234
ADV-COMM-0130,CASE-0669,PERSON-0683 contacted PERSON-0419 regarding operational logistics.,153
ADV-COMM-0131,CASE-0669,PERSON-0419 contacted PERSON-0683 confirming pickup.,72
ADV-COMM-0132,CASE-0777,PERSON-0681 contacted PERSON-0963 regarding operational logistics.,223
ADV-COMM-0133,CASE-0832,PERSON-0583 contacted PERSON-0309 regarding operational logistics.,190
ADV-COMM-0134,CASE-1188,PERSON-0216 contacted PERSON-0441 regarding operational logistics.,205
ADV-COMM-0135,CASE-1188,PERSON-0441 contacted PERSON-0216 confirming pickup.,159
ADV-COMM-0136,CASE-1047,PERSON-0692 contacted PERSON-0219 regarding operational logistics.,171
ADV-COMM-0137,CASE-0174,PERSON-0754 contacted PERSON-0174 regarding operational logistics.,122
ADV-COMM-0138,CASE-0174,PERSON-0174 contacted PERSON-0754 confirming pickup.,125
ADV-COMM-0139,CASE-0482,PERSON-0975 contacted PERSON-0770 regarding operational logistics.,222
ADV-COMM-0140,CASE-0482,PERSON-0770 contacted PERSON-0975 confirming pickup.,90
ADV-COMM-0141,CASE-0974,PERSON-0048 contacted PERSON-0251 regarding operational logistics.,206
ADV-COMM-0142,CASE-1179,PERSON-0425 contacted PERSON-0908 regarding operational logistics.,99
ADV-COMM-0143,CASE-0303,PERSON-0410 contacted PERSON-0250 regarding operational logistics.,217
ADV-COMM-0144,CASE-0303,PERSON-0250 contacted PERSON-0410 confirming pickup.,67
ADV-COMM-0145,CASE-1061,PERSON-0225 contacted PERSON-0181 regarding operational logistics.,168
ADV-COMM-0146,CASE-1061,PERSON-0181 contacted PERSON-0225 confirming pickup.,103
ADV-COMM-0147,CASE-0274,PERSON-0125 contacted PERSON-0468 regarding operational logistics.,255
ADV-COMM-0148,CASE-0274,PERSON-0468 contacted PERSON-0125 confirming pickup.,175
ADV-COMM-0149,CASE-0907,PERSON-0610 contacted PERSON-0325 regarding operational logistics.,206
ADV-COMM-0150,CASE-1123,PERSON-0437 contacted PERSON-0851 regarding operational logistics.,164
ADV-COMM-0151,CASE-0531,PERSON-0487 contacted PERSON-0461 regarding operational logistics.,242
ADV-COMM-0152,CASE-0531,PERSON-0461 contacted PERSON-0487 confirming pickup.,110
ADV-COMM-0153,CASE-0490,PERSON-0534 contacted PERSON-0497 regarding operational logistics.,120
ADV-COMM-0154,CASE-0490,PERSON-0497 contacted PERSON-0534 confirming pickup.,113
ADV-COMM-0155,CASE-1107,PERSON-0344 contacted PERSON-0328 regarding operational logistics.,70
ADV-COMM-0156,CASE-1107,PERSON-0328 contacted PERSON-0344 confirming pickup.,99
ADV-COMM-0157,CASE-0439,PERSON-0157 contacted PERSON-0724 regarding operational logistics.,66
ADV-COMM-0158,CASE-0439,PERSON-0724 contacted PERSON-0157 confirming pickup.,124
ADV-COMM-0159,CASE-0424,PERSON-0426 contacted PERSON-0064 regarding operational logistics.,263
ADV-COMM-0160,CASE-0424,PERSON-0064 contacted PERSON-0426 confirming pickup.,45
ADV-COMM-0161,CASE-0780,PERSON-0784 contacted PERSON-0590 regarding operational logistics.,172
ADV-COMM-0162,CASE-0780,PERSON-0590 contacted PERSON-0784 confirming pickup.,130
ADV-COMM-0163,CASE-0859,PERSON-0400 contacted PERSON-0874 regarding operational logistics.,187
ADV-COMM-0164,CASE-0452,PERSON-0618 contacted PERSON-0920 regarding operational logistics.,174
ADV-COMM-0165,CASE-0452,PERSON-0920 contacted PERSON-0618 confirming pickup.,151
ADV-COMM-0166,CASE-0829,PERSON-0399 contacted PERSON-0345 regarding operational logistics.,235
ADV-COMM-0167,CASE-0829,PERSON-0345 contacted PERSON-0399 confirming pickup.,159
ADV-COMM-0168,CASE-0056,PERSON-0638 contacted PERSON-0547 regarding operational logistics.,282
ADV-COMM-0169,CASE-0056,PERSON-0547 contacted PERSON-0638 confirming pickup.,46
ADV-COMM-0170,CASE-0946,PERSON-0439 contacted PERSON-0139 regarding operational logistics.,96
ADV-COMM-0171,CASE-0946,PERSON-0139 contacted PERSON-0439 confirming pickup.,137
ADV-COMM-0172,CASE-0692,PERSON-0466 contacted PERSON-0335 regarding operational logistics.,244
ADV-COMM-0173,CASE-0864,PERSON-0975 contacted PERSON-0852 regarding operational logistics.,114
ADV-COMM-0174,CASE-0107,PERSON-0768 contacted PERSON-0553 regarding operational logistics.,293
ADV-COMM-0175,CASE-0107,PERSON-0553 contacted PERSON-0768 confirming pickup.,57
ADV-COMM-0176,CASE-0064,PERSON-0668 contacted PERSON-0042 regarding operational logistics.,293
ADV-COMM-0177,CASE-0064,PERSON-0042 contacted PERSON-0668 confirming pickup.,45
ADV-COMM-0178,CASE-0970,PERSON-0245 contacted PERSON-0130 regarding operational logistics.,221
ADV-COMM-0179,CASE-0970,PERSON-0130 contacted PERSON-0245 confirming pickup.,95
ADV-COMM-0180,CASE-0756,PERSON-0263 contacted PERSON-0786 regarding operational logistics.,92
ADV-COMM-0181,CASE-0756,PERSON-0786 contacted PERSON-0263 confirming pickup.,69
ADV-COMM-0182,CASE-0638,PERSON-0168 contacted PERSON-0988 regarding operational logistics.,77
ADV-COMM-0183,CASE-0638,PERSON-0988 contacted PERSON-0168 confirming pickup.,119
ADV-COMM-0184,CASE-0769,PERSON-0930 contacted PERSON-0982 regarding operational logistics.,151
ADV-COMM-0185,CASE-0498,PERSON-0607 contacted PERSON-0708 regarding operational logistics.,76
ADV-COMM-0186,CASE-0498,PERSON-0708 contacted PERSON-0607 confirming pickup.,117
ADV-COMM-0187,CASE-0248,PERSON-0615 contacted PERSON-0825 regarding operational logistics.,253
ADV-COMM-0188,CASE-0878,PERSON-0356 contacted PERSON-0546 regarding operational logistics.,219
ADV-COMM-0189,CASE-0878,PERSON-0546 contacted PERSON-0356 confirming pickup.,169
ADV-COMM-0190,CASE-0861,PERSON-0013 contacted PERSON-0870 regarding operational logistics.,260
ADV-COMM-0191,CASE-0861,PERSON-0870 contacted PERSON-0013 confirming pickup.,150
ADV-COMM-0192,CASE-0942,PERSON-0651 contacted PERSON-0913 regarding operational logistics.,231
ADV-COMM-0193,CASE-0942,PERSON-0913 contacted PERSON-0651 confirming pickup.,85
ADV-COMM-0194,CASE-0554,PERSON-0989 contacted PERSON-0667 regarding operational logistics.,207
ADV-COMM-0195,CASE-0893,PERSON-0496 contacted PERSON-0477 regarding operational logistics.,261
ADV-COMM-0196,CASE-0178,PERSON-0873 contacted PERSON-0252 regarding operational logistics.,121
ADV-COMM-0197,CASE-1250,PERSON-0476 contacted PERSON-0584 regarding operational logistics.,221
ADV-COMM-0198,CASE-1250,PERSON-0584 contacted PERSON-0476 confirming pickup.,47
ADV-COMM-0199,CASE-0999,PERSON-0333 contacted PERSON-0187 regarding operational logistics.,104
ADV-COMM-0200,CASE-0999,PERSON-0187 contacted PERSON-0333 confirming pickup.,106
ADV-COMM-0201,CASE-0566,PERSON-0902 contacted PERSON-0611 regarding operational logistics.,192
ADV-COMM-0202,CASE-0566,PERSON-0611 contacted PERSON-0902 confirming pickup.,88
ADV-COMM-0203,CASE-1001,PERSON-0738 contacted PERSON-0417 regarding operational logistics.,192
ADV-COMM-0204,CASE-1006,PERSON-0662 contacted PERSON-0729 regarding operational logistics.,164
ADV-COMM-0205,CASE-0499,PERSON-0227 contacted PERSON-0415 regarding operational logistics.,128
ADV-COMM-0206,CASE-0499,PERSON-0415 contacted PERSON-0227 confirming pickup.,134
ADV-COMM-0207,CASE-0872,PERSON-0544 contacted PERSON-0353 regarding operational logistics.,240
ADV-COMM-0208,CASE-0872,PERSON-0353 contacted PERSON-0544 confirming pickup.,130
ADV-COMM-0209,CASE-0515,PERSON-0278 contacted PERSON-0314 regarding operational logistics.,109
ADV-COMM-0210,CASE-0515,PERSON-0314 contacted PERSON-0278 confirming pickup.,89
ADV-COMM-0211,CASE-0380,PERSON-0761 contacted PERSON-0549 regarding operational logistics.,99
ADV-COMM-0212,CASE-0380,PERSON-0549 contacted PERSON-0761 confirming pickup.,163
ADV-COMM-0213,CASE-1075,PERSON-0604 contacted PERSON-0779 regarding operational logistics.,202
ADV-COMM-0214,CASE-1075,PERSON-0779 contacted PERSON-0604 confirming pickup.,65
ADV-COMM-0215,CASE-0740,PERSON-0304 contacted PERSON-0233 regarding operational logistics.,95
ADV-COMM-0216,CASE-0740,PERSON-0233 contacted PERSON-0304 confirming pickup.,176
ADV-COMM-0217,CASE-0112,PERSON-0047 contacted PERSON-0998 regarding operational logistics.,191
ADV-COMM-0218,CASE-0112,PERSON-0998 contacted PERSON-0047 confirming pickup.,72
ADV-COMM-0219,CASE-0211,PERSON-0771 contacted PERSON-0503 regarding operational logistics.,273
ADV-COMM-0220,CASE-0211,PERSON-0503 contacted PERSON-0771 confirming pickup.,112
ADV-COMM-0221,CASE-0378,PERSON-0452 contacted PERSON-0349 regarding operational logistics.,297
ADV-COMM-0222,CASE-0378,PERSON-0349 contacted PERSON-0452 confirming pickup.,162
ADV-COMM-0223,CASE-1008,PERSON-0067 contacted PERSON-0411 regarding operational logistics.,68
ADV-COMM-0224,CASE-1008,PERSON-0411 contacted PERSON-0067 confirming pickup.,53
ADV-COMM-0225,CASE-0623,PERSON-0831 contacted PERSON-0577 regarding operational logistics.,71
ADV-COMM-0226,CASE-1242,PERSON-0783 contacted PERSON-0427 regarding operational logistics.,202
ADV-COMM-0227,CASE-0923,PERSON-0536 contacted PERSON-0390 regarding operational logistics.,282
ADV-COMM-0228,CASE-0923,PERSON-0390 contacted PERSON-0536 confirming pickup.,149
ADV-COMM-0229,CASE-1249,PERSON-0636 contacted PERSON-0062 regarding operational logistics.,295
ADV-COMM-0230,CASE-0433,PERSON-0213 contacted PERSON-0641 regarding operational logistics.,117
ADV-COMM-0231,CASE-0433,PERSON-0641 contacted PERSON-0213 confirming pickup.,80
ADV-COMM-0232,CASE-0321,PERSON-0566 contacted PERSON-0077 regarding operational logistics.,50
ADV-COMM-0233,CASE-0321,PERSON-0077 contacted PERSON-0566 confirming pickup.,160
ADV-COMM-0234,CASE-0580,PERSON-0238 contacted PERSON-0296 regarding operational logistics.,229
ADV-COMM-0235,CASE-0542,PERSON-0240 contacted PERSON-0947 regarding operational logistics.,251
ADV-COMM-0236,CASE-0406,PERSON-0824 contacted PERSON-0957 regarding operational logistics.,158
ADV-COMM-0237,CASE-0406,PERSON-0957 contacted PERSON-0824 confirming pickup.,97
ADV-COMM-0238,CASE-0292,PERSON-0931 contacted PERSON-0273 regarding operational logistics.,68
ADV-COMM-0239,CASE-0292,PERSON-0273 contacted PERSON-0931 confirming pickup.,118
ADV-COMM-0240,CASE-0592,PERSON-0845 contacted PERSON-0583 regarding operational logistics.,162
ADV-COMM-0241,CASE-0592,PERSON-0583 contacted PERSON-0845 confirming pickup.,117
ADV-COMM-0242,CASE-1025,PERSON-0966 contacted PERSON-0279 regarding operational logistics.,188
ADV-COMM-0243,CASE-1025,PERSON-0279 contacted PERSON-0966 confirming pickup.,60
ADV-COMM-0244,CASE-0661,PERSON-0911 contacted PERSON-0443 regarding operational logistics.,204
ADV-COMM-0245,CASE-0661,PERSON-0443 contacted PERSON-0911 confirming pickup.,63
ADV-COMM-0246,CASE-1179,PERSON-0691 contacted PERSON-0857 regarding operational logistics.,200
ADV-COMM-0247,CASE-0552,PERSON-0689 contacted PERSON-0842 regarding operational logistics.,197
ADV-COMM-0248,CASE-0552,PERSON-0842 contacted PERSON-0689 confirming pickup.,84
ADV-COMM-0249,CASE-0570,PERSON-0668 contacted PERSON-0453 regarding operational logistics.,96
ADV-COMM-0250,CASE-0187,PERSON-0834 contacted PERSON-0504 regarding operational logistics.,170
ADV-COMM-0251,CASE-0187,PERSON-0504 contacted PERSON-0834 confirming pickup.,125
ADV-COMM-0252,CASE-0330,PERSON-0108 contacted PERSON-0879 regarding operational logistics.,134
ADV-COMM-0253,CASE-0330,PERSON-0879 contacted PERSON-0108 confirming pickup.,166
ADV-COMM-0254,CASE-1127,PERSON-0968 contacted PERSON-0411 regarding operational logistics.,59
ADV-COMM-0255,CASE-1127,PERSON-0411 contacted PERSON-0968 confirming pickup.,120
ADV-COMM-0256,CASE-0828,PERSON-0119 contacted PERSON-0994 regarding operational logistics.,271
ADV-COMM-0257,CASE-0828,PERSON-0994 contacted PERSON-0119 confirming pickup.,40
ADV-COMM-0258,CASE-0847,PERSON-0556 contacted PERSON-0474 regarding operational logistics.,63
ADV-COMM-0259,CASE-0847,PERSON-0474 contacted PERSON-0556 confirming pickup.,132
ADV-COMM-0260,CASE-0906,PERSON-0511 contacted PERSON-0641 regarding operational logistics.,244
ADV-COMM-0261,CASE-0906,PERSON-0641 contacted PERSON-0511 confirming pickup.,108
ADV-COMM-0262,CASE-0898,PERSON-0950 contacted PERSON-0295 regarding operational logistics.,275
ADV-COMM-0263,CASE-0898,PERSON-0295 contacted PERSON-0950 confirming pickup.,71
ADV-COMM-0264,CASE-0491,PERSON-0646 contacted PERSON-0624 regarding operational logistics.,231
ADV-COMM-0265,CASE-0491,PERSON-0624 contacted PERSON-0646 confirming pickup.,43
ADV-COMM-0266,CASE-0233,PERSON-0096 contacted PERSON-0231 regarding operational logistics.,168
ADV-COMM-0267,CASE-0598,PERSON-0158 contacted PERSON-0511 regarding operational logistics.,180
ADV-COMM-0268,CASE-0500,PERSON-0495 contacted PERSON-0484 regarding operational logistics.,166
ADV-COMM-0269,CASE-0500,PERSON-0484 contacted PERSON-0495 confirming pickup.,138
ADV-COMM-0270,CASE-0280,PERSON-0614 contacted PERSON-0521 regarding operational logistics.,271
ADV-COMM-0271,CASE-0280,PERSON-0521 contacted PERSON-0614 confirming pickup.,146
ADV-COMM-0272,CASE-0548,PERSON-0807 contacted PERSON-0520 regarding operational logistics.,260
ADV-COMM-0273,CASE-0548,PERSON-0520 contacted PERSON-0807 confirming pickup.,116
ADV-COMM-0274,CASE-1003,PERSON-0594 contacted PERSON-0676 regarding operational logistics.,271
ADV-COMM-0275,CASE-1003,PERSON-0676 contacted PERSON-0594 confirming pickup.,177
ADV-COMM-0276,CASE-1113,PERSON-0341 contacted PERSON-0566 regarding operational logistics.,146
ADV-COMM-0277,CASE-1113,PERSON-0566 contacted PERSON-0341 confirming pickup.,122
ADV-COMM-0278,CASE-1172,PERSON-0715 contacted PERSON-0245 regarding operational logistics.,148
ADV-COMM-0279,CASE-1172,PERSON-0245 contacted PERSON-0715 confirming pickup.,145
ADV-COMM-0280,CASE-0781,PERSON-0763 contacted PERSON-0485 regarding operational logistics.,148
ADV-COMM-0281,CASE-1015,PERSON-0668 contacted PERSON-0156 regarding operational logistics.,296
ADV-COMM-0282,CASE-1015,PERSON-0156 contacted PERSON-0668 confirming pickup.,168
ADV-COMM-0283,CASE-0206,PERSON-0340 contacted PERSON-0891 regarding operational logistics.,273
ADV-COMM-0284,CASE-0032,PERSON-0933 contacted PERSON-0468 regarding operational logistics.,234
ADV-COMM-0285,CASE-0032,PERSON-0468 contacted PERSON-0933 confirming pickup.,79
ADV-COMM-0286,CASE-0543,PERSON-0801 contacted PERSON-0993 regarding operational logistics.,136
ADV-COMM-0287,CASE-0543,PERSON-0993 contacted PERSON-0801 confirming pickup.,141
ADV-COMM-0288,CASE-1093,PERSON-0873 contacted PERSON-0337 regarding operational logistics.,147
ADV-COMM-0289,CASE-1000,PERSON-0909 contacted PERSON-0778 regarding operational logistics.,273
ADV-COMM-0290,CASE-1000,PERSON-0778 contacted PERSON-0909 confirming pickup.,57
