pair_id,source_entity_id,target_entity_id,relationship_type,case_id,evidence_reference,expected_relationship,scenario,split
ADV-PAIR-0055,PERSON-0912,PERSON-0110,CONTACTED,CASE-1134,PERSON-0912 coordinated with PERSON-0110 under CASE-1134.,1,POS_STANDARD_MULTI_CHANNEL,TEST
ADV-PAIR-0056,PERSON-0209,PERSON-0704,CONTACTED,CASE-0541,PERSON-0209 coordinated with PERSON-0704 under CASE-0541.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0057,PERSON-0434,PERSON-0850,CONTACTED,CASE-0567,PERSON-0434 coordinated with PERSON-0850 under CASE-0567.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0058,PERSON-0269,PERSON-0166,CONTACTED,CASE-0905,PERSON-0269 coordinated with PERSON-0166 under CASE-0905.,1,POS_STANDARD_MULTI_CHANNEL,TEST
ADV-PAIR-0059,PERSON-0115,PERSON-0078,CONTACTED,CASE-0306,PERSON-0115 coordinated with PERSON-0078 under CASE-0306.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0060,PERSON-0152,PERSON-0441,CONTACTED,CASE-0262,PERSON-0152 coordinated with PERSON-0441 under CASE-0262.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0061,PERSON-0216,PERSON-0699,CONTACTED,CASE-0512,PERSON-0216 coordinated with PERSON-0699 under CASE-0512.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0062,PERSON-0768,PERSON-0159,CONTACTED,CASE-0485,PERSON-0768 coordinated with PERSON-0159 under CASE-0485.,1,POS_STANDARD_MULTI_CHANNEL,TEST
ADV-PAIR-0063,PERSON-0026,PERSON-0184,CONTACTED,CASE-0681,PERSON-0026 coordinated with PERSON-0184 under CASE-0681.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0064,PERSON-0885,PERSON-0753,CONTACTED,CASE-0509,PERSON-0885 coordinated with PERSON-0753 under CASE-0509.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0065,PERSON-0040,PERSON-0880,CONTACTED,CASE-0964,PERSON-0040 coordinated with PERSON-0880 under CASE-0964.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0066,PERSON-0841,PERSON-0815,CONTACTED,CASE-0467,PERSON-0841 coordinated with PERSON-0815 under CASE-0467.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0067,PERSON-0286,PERSON-0886,CONTACTED,CASE-0143,PERSON-0286 coordinated with PERSON-0886 under CASE-0143.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0068,PERSON-0522,PERSON-0410,CONTACTED,CASE-1099,PERSON-0522 coordinated with PERSON-0410 under CASE-1099.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0069,PERSON-0994,PERSON-0268,CONTACTED,CASE-0366,PERSON-0994 coordinated with PERSON-0268 under CASE-0366.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0070,PERSON-0112,PERSON-0611,CONTACTED,CASE-0890,PERSON-0112 coordinated with PERSON-0611 under CASE-0890.,1,POS_STANDARD_MULTI_CHANNEL,TEST
ADV-PAIR-0071,PERSON-0621,PERSON-0524,CONTACTED,CASE-0237,PERSON-0621 coordinated with PERSON-0524 under CASE-0237.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0072,PERSON-0046,PERSON-0726,CONTACTED,CASE-0894,PERSON-0046 coordinated with PERSON-0726 under CASE-0894.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0073,PERSON-0963,PERSON-0760,CONTACTED,CASE-0404,PERSON-0963 coordinated with PERSON-0760 under CASE-0404.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0074,PERSON-0680,PERSON-0869,CONTACTED,CASE-0256,PERSON-0680 coordinated with PERSON-0869 under CASE-0256.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0075,PERSON-0683,PERSON-0419,CONTACTED,CASE-0669,PERSON-0683 coordinated with PERSON-0419 under CASE-0669.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0076,PERSON-0681,PERSON-0963,CONTACTED,CASE-0777,PERSON-0681 coordinated with PERSON-0963 under CASE-0777.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0077,PERSON-0583,PERSON-0309,CONTACTED,CASE-0832,PERSON-0583 coordinated with PERSON-0309 under CASE-0832.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0078,PERSON-0216,PERSON-0441,CONTACTED,CASE-1188,PERSON-0216 coordinated with PERSON-0441 under CASE-1188.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0079,PERSON-0692,PERSON-0219,CONTACTED,CASE-1047,PERSON-0692 coordinated with PERSON-0219 under CASE-1047.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0080,PERSON-0754,PERSON-0174,CONTACTED,CASE-0174,PERSON-0754 coordinated with PERSON-0174 under CASE-0174.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0081,PERSON-0975,PERSON-0770,CONTACTED,CASE-0482,PERSON-0975 coordinated with PERSON-0770 under CASE-0482.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0082,PERSON-0048,PERSON-0251,CONTACTED,CASE-0974,PERSON-0048 coordinated with PERSON-0251 under CASE-0974.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0083,PERSON-0425,PERSON-0908,CONTACTED,CASE-1179,PERSON-0425 coordinated with PERSON-0908 under CASE-1179.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0084,PERSON-0410,PERSON-0250,CONTACTED,CASE-0303,PERSON-0410 coordinated with PERSON-0250 under CASE-0303.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0085,PERSON-0225,PERSON-0181,CONTACTED,CASE-1061,PERSON-0225 coordinated with PERSON-0181 under CASE-1061.,1,POS_STANDARD_MULTI_CHANNEL,TEST
ADV-PAIR-0086,PERSON-0125,PERSON-0468,CONTACTED,CASE-0274,PERSON-0125 coordinated with PERSON-0468 under CASE-0274.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0087,PERSON-0610,PERSON-0325,CONTACTED,CASE-0907,PERSON-0610 coordinated with PERSON-0325 under CASE-0907.,1,POS_STANDARD_MULTI_CHANNEL,TEST
ADV-PAIR-0088,PERSON-0437,PERSON-0851,CONTACTED,CASE-1123,PERSON-0437 coordinated with PERSON-0851 under CASE-1123.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0089,PERSON-0487,PERSON-0461,CONTACTED,CASE-0531,PERSON-0487 coordinated with PERSON-0461 under CASE-0531.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0090,PERSON-0534,PERSON-0497,CONTACTED,CASE-0490,PERSON-0534 coordinated with PERSON-0497 under CASE-0490.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0091,PERSON-0344,PERSON-0328,CONTACTED,CASE-1107,PERSON-0344 coordinated with PERSON-0328 under CASE-1107.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0092,PERSON-0157,PERSON-0724,CONTACTED,CASE-0439,PERSON-0157 coordinated with PERSON-0724 under CASE-0439.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0093,PERSON-0426,PERSON-0064,CONTACTED,CASE-0424,PERSON-0426 coordinated with PERSON-0064 under CASE-0424.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0094,PERSON-0784,PERSON-0590,CONTACTED,CASE-0780,PERSON-0784 coordinated with PERSON-0590 under CASE-0780.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0095,PERSON-0400,PERSON-0874,CONTACTED,CASE-0859,PERSON-0400 coordinated with PERSON-0874 under CASE-0859.,1,POS_STANDARD_MULTI_CHANNEL,TEST
ADV-PAIR-0096,PERSON-0618,PERSON-0920,CONTACTED,CASE-0452,PERSON-0618 coordinated with PERSON-0920 under CASE-0452.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0097,PERSON-0399,PERSON-0345,CONTACTED,CASE-0829,PERSON-0399 coordinated with PERSON-0345 under CASE-0829.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0098,PERSON-0638,PERSON-0547,CONTACTED,CASE-0056,PERSON-0638 coordinated with PERSON-0547 under CASE-0056.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0099,PERSON-0439,PERSON-0139,CONTACTED,CASE-0946,PERSON-0439 coordinated with PERSON-0139 under CASE-0946.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0100,PERSON-0466,PERSON-0335,CONTACTED,CASE-0692,PERSON-0466 coordinated with PERSON-0335 under CASE-0692.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0101,PERSON-0975,PERSON-0852,CONTACTED,CASE-0864,PERSON-0975 coordinated with PERSON-0852 under CASE-0864.,1,POS_STANDARD_MULTI_CHANNEL,TEST
ADV-PAIR-0102,PERSON-0768,PERSON-0553,CONTACTED,CASE-0107,PERSON-0768 coordinated with PERSON-0553 under CASE-0107.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0103,PERSON-0668,PERSON-0042,CONTACTED,CASE-0064,PERSON-0668 coordinated with PERSON-0042 under CASE-0064.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0104,PERSON-0245,PERSON-0130,CONTACTED,CASE-0970,PERSON-0245 coordinated with PERSON-0130 under CASE-0970.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0105,PERSON-0263,PERSON-0786,CONTACTED,CASE-0756,PERSON-0263 coordinated with PERSON-0786 under CASE-0756.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0106,PERSON-0168,PERSON-0988,CONTACTED,CASE-0638,PERSON-0168 coordinated with PERSON-0988 under CASE-0638.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0107,PERSON-0930,PERSON-0982,CONTACTED,CASE-0769,PERSON-0930 coordinated with PERSON-0982 under CASE-0769.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0108,PERSON-0607,PERSON-0708,CONTACTED,CASE-0498,PERSON-0607 coordinated with PERSON-0708 under CASE-0498.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0109,PERSON-0615,PERSON-0825,CONTACTED,CASE-0248,PERSON-0615 coordinated with PERSON-0825 under CASE-0248.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0110,PERSON-0356,PERSON-0546,CONTACTED,CASE-0878,PERSON-0356 coordinated with PERSON-0546 under CASE-0878.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0111,PERSON-0013,PERSON-0870,CONTACTED,CASE-0861,PERSON-0013 coordinated with PERSON-0870 under CASE-0861.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0112,PERSON-0651,PERSON-0913,CONTACTED,CASE-0942,PERSON-0651 coordinated with PERSON-0913 under CASE-0942.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0113,PERSON-0989,PERSON-0667,CONTACTED,CASE-0554,PERSON-0989 coordinated with PERSON-0667 under CASE-0554.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0114,PERSON-0496,PERSON-0477,CONTACTED,CASE-0893,PERSON-0496 coordinated with PERSON-0477 under CASE-0893.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0115,PERSON-0873,PERSON-0252,CONTACTED,CASE-0178,PERSON-0873 coordinated with PERSON-0252 under CASE-0178.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0116,PERSON-0476,PERSON-0584,CONTACTED,CASE-1250,PERSON-0476 coordinated with PERSON-0584 under CASE-1250.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0117,PERSON-0333,PERSON-0187,CONTACTED,CASE-0999,PERSON-0333 coordinated with PERSON-0187 under CASE-0999.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0118,PERSON-0902,PERSON-0611,CONTACTED,CASE-0566,PERSON-0902 coordinated with PERSON-0611 under CASE-0566.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0119,PERSON-0738,PERSON-0417,CONTACTED,CASE-1001,PERSON-0738 coordinated with PERSON-0417 under CASE-1001.,1,POS_STANDARD_MULTI_CHANNEL,TEST
ADV-PAIR-0120,PERSON-0662,PERSON-0729,CONTACTED,CASE-1006,PERSON-0662 coordinated with PERSON-0729 under CASE-1006.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0121,PERSON-0227,PERSON-0415,CONTACTED,CASE-0499,PERSON-0227 coordinated with PERSON-0415 under CASE-0499.,1,POS_STANDARD_MULTI_CHANNEL,TEST
ADV-PAIR-0122,PERSON-0544,PERSON-0353,CONTACTED,CASE-0872,PERSON-0544 coordinated with PERSON-0353 under CASE-0872.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0123,PERSON-0278,PERSON-0314,CONTACTED,CASE-0515,PERSON-0278 coordinated with PERSON-0314 under CASE-0515.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0124,PERSON-0761,PERSON-0549,CONTACTED,CASE-0380,PERSON-0761 coordinated with PERSON-0549 under CASE-0380.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0125,PERSON-0604,PERSON-0779,CONTACTED,CASE-1075,PERSON-0604 coordinated with PERSON-0779 under CASE-1075.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0126,PERSON-0304,PERSON-0233,CONTACTED,CASE-0740,PERSON-0304 coordinated with PERSON-0233 under CASE-0740.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0127,PERSON-0047,PERSON-0998,CONTACTED,CASE-0112,PERSON-0047 coordinated with PERSON-0998 under CASE-0112.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0128,PERSON-0771,PERSON-0503,CONTACTED,CASE-0211,PERSON-0771 coordinated with PERSON-0503 under CASE-0211.,1,POS_STANDARD_MULTI_CHANNEL,TEST
ADV-PAIR-0129,PERSON-0452,PERSON-0349,CONTACTED,CASE-0378,PERSON-0452 coordinated with PERSON-0349 under CASE-0378.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0130,PERSON-0067,PERSON-0411,CONTACTED,CASE-1008,PERSON-0067 coordinated with PERSON-0411 under CASE-1008.,1,POS_STANDARD_MULTI_CHANNEL,TEST
ADV-PAIR-0131,PERSON-0831,PERSON-0577,CONTACTED,CASE-0623,PERSON-0831 coordinated with PERSON-0577 under CASE-0623.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0132,PERSON-0783,PERSON-0427,CONTACTED,CASE-1242,PERSON-0783 coordinated with PERSON-0427 under CASE-1242.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0133,PERSON-0536,PERSON-0390,CONTACTED,CASE-0923,PERSON-0536 coordinated with PERSON-0390 under CASE-0923.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0134,PERSON-0636,PERSON-0062,CONTACTED,CASE-1249,PERSON-0636 coordinated with PERSON-0062 under CASE-1249.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0135,PERSON-0213,PERSON-0641,CONTACTED,CASE-0433,PERSON-0213 coordinated with PERSON-0641 under CASE-0433.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0136,PERSON-0566,PERSON-0077,CONTACTED,CASE-0321,PERSON-0566 coordinated with PERSON-0077 under CASE-0321.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
ADV-PAIR-0137,PERSON-0238,PERSON-0296,CONTACTED,CASE-0580,PERSON-0238 coordinated with PERSON-0296 under CASE-0580.,1,POS_STANDARD_MULTI_CHANNEL,VAL
ADV-PAIR-0138,PERSON-0240,PERSON-0947,CONTACTED,CASE-0542,PERSON-0240 coordinated with PERSON-0947 under CASE-0542.,1,POS_STANDARD_MULTI_CHANNEL,TRAIN
